number	weight	playerName	hometown	pos	height	playerId	summary	class
21	240	Ricardo Marsh	Mebane, NC	F	80	ricardo-marsh-1	16.7 Pts, 8.4 Reb, 1.4 Ast	SR
22	210	Rasheed Wright	Greensboro, NC	F	77	rasheed-wright-1	14.9 Pts, 5.4 Reb, 1.5 Ast	SR
40	240	Alex Loughton		C	81	alex-loughton-1	8.3 Pts, 5.9 Reb, 0.8 Ast	FR
10	180	John Waller	Richmond, VA	G	76	john-waller-1	8.3 Pts, 4.6 Reb, 1.4 Ast	JR
1	170	Isaiah Hunter	Charlotte, NC	G	74	isaiah-hunter-1	6.1 Pts, 2.0 Reb, 2.7 Ast	FR
13	175	Troy Nance	Virginia Beach, VA	G	69	troy-nance-1	3.8 Pts, 1.5 Reb, 4.4 Ast	JR
24	190	Kiah Thomas	Norfolk, VA	G	76	kiah-thomas-1	3.1 Pts, 1.6 Reb, 0.7 Ast	SO
4	214	T.J. Waldon	Lakeland, FL	F	76	tj-waldon-1	3.0 Pts, 2.6 Reb, 0.2 Ast	FR
3	180	John Morris	Camp Hill, PA	G	73	john-morris-1	1.8 Pts, 1.0 Reb, 1.2 Ast	FR
41	275	Janko Mrksic		C	82	janko-mrksic-1	1.2 Pts, 2.1 Reb, 0.2 Ast	FR
41	245	Joe Principe	Gladstone, MO	C	82	joe-principe-1	0.5 Pts, 0.7 Reb, 0.0 Ast	JR
15	210	Andreas Themistocleus		F	78	andreas-themistocleus-1	0.2 Pts, 0.6 Reb, 0.1 Ast	JR
33	170	Cole Pugh	Philadelphia, PA	F	75	cole-pugh-1	0.5 Pts, 0.0 Reb, 0.0 Ast	SO
