number	weight	playerName	hometown	pos	height	playerId	summary	class
3	250	Ryan Gomes		F	79	ryan-gomes-1	18.4 Pts, 9.7 Reb, 2.1 Ast	SO
13	200	Sheiku Kabba	Bronx, NY	G	75	sheiku-kabba-1	10.0 Pts, 2.7 Reb, 2.4 Ast	JR
1	190	Donnie McGrath	Katonah, NY	G	76	donnie-mcgrath-1	9.1 Pts, 2.1 Reb, 4.3 Ast	FR
11	220	Tuukka Kotti		F	81	tuukka-kotti-1	7.7 Pts, 3.6 Reb, 1.6 Ast	SO
22	230	Maris Laksa		F	81	maris-laksa-1	8.5 Pts, 2.4 Reb, 1.2 Ast	JR
33	215	Rob Sanders	New London, CT	F	79	rob-sanders-1	7.4 Pts, 3.8 Reb, 0.7 Ast	SO
4	235	Marcus Douthit	Syracuse, NY	C	82	marcus-douthit-1	5.1 Pts, 4.6 Reb, 1.5 Ast	JR
4	215	Romuald Augustin		F	79	romuald-augustin-1	6.9 Pts, 2.7 Reb, 0.8 Ast	JR
20	220	Christopher Anrin		F	79	christopher-anrin-1	2.9 Pts, 0.7 Reb, 0.1 Ast	JR
15	175	Kareem Hayletts	Bergenfield, NJ	G	72	kareem-hayletts-1	0.7 Pts, 0.5 Reb, 0.6 Ast	SR
34	245	Leland Anderson	Attleboro, MA	F	80	leland-anderson-1	0.8 Pts, 0.2 Reb, 0.0 Ast	SR
35	208	Stephen Traugott	New Rochelle, NY	F	77	stephen-traugott-1	0.0 Pts, 0.5 Reb, 0.0 Ast	SR
	240	Herbert Hill	Kinston, NC		82	herbert-hill-1		
