number	weight	playerName	hometown	pos	height	playerId	summary	class
20	202	Brian Woodward	Queens, NY	G	75	brian-woodward-1	14.1 Pts, 6.0 Reb, 2.3 Ast	SR
24	210	Dustin Hellenga	Centreville, VA	G	76	dustin-hellenga-1	13.0 Pts, 3.9 Reb, 2.1 Ast	SO
13	195	Lazare Adingono		G	75	lazare-adingono-1	11.8 Pts, 4.4 Reb, 1.2 Ast	SR
5	195	Dawan Robinson		G	75	dawan-robinson-1	11.2 Pts, 2.8 Reb, 1.9 Ast	SO
32	206	Jamaal Wise	Burtonsville, MD	F	78	jamaal-wise-1	4.5 Pts, 3.3 Reb, 0.4 Ast	JR
44	255	Jon Clark		C	82	jon-clark-1	3.8 Pts, 3.3 Reb, 0.5 Ast	FR
4	175	Howard Smith	Killeen, TX	G	72	howard-smith-1	2.9 Pts, 3.4 Reb, 4.1 Ast	SR
1	241	Terrence Mack	Philadelphia, PA	F	78	terrence-mack-1	3.0 Pts, 2.7 Reb, 0.4 Ast	FR
42	202	Marcel Momplaisir	New York, NY	F	79	marcel-momplaisir-1	3.5 Pts, 3.0 Reb, 0.2 Ast	SO
11	185	Steve Mello	Bristol, RI	G	73	steve-mello-1	2.1 Pts, 1.1 Reb, 0.1 Ast	JR
54	270	Chris Holm	Henderson, NV	C	82	chris-holm-1	1.5 Pts, 1.3 Reb, 0.2 Ast	FR
2	180	Bamfield Harmon	The Colony, TX	G	74	bamfield-harmon-1	0.8 Pts, 1.0 Reb, 0.3 Ast	FR
50	208	Jeff Kalapos	Stratford, CT	G	77	jeff-kalapos-1	0.4 Pts, 0.2 Reb, 0.0 Ast	SO
15	185	Tom Behrens	Pearl River, NY	G	76	tom-behrens-1	0.2 Pts, 0.2 Reb, 0.0 Ast	FR
