number	weight	playerName	hometown	pos	height	playerId	summary	class
3	185	Maurice Carter	Richmond, VA	G	71	maurice-carter-2	19.1 Pts, 4.0 Reb, 2.4 Ast	SO
24	200	Chaz McCrommon	Pittsburgh, PA	F	78	chaz-mccrommon-1	16.4 Pts, 6.0 Reb, 2.1 Ast	JR
42	220	Aaron Thomas	Middlebury, IN	F	79	aaron-thomas-2	12.3 Pts, 6.0 Reb, 1.8 Ast	JR
1	190	DaMarcus Ellis	Dallas, TX	G	73	damarcus-ellis-1	10.9 Pts, 2.4 Reb, 3.6 Ast	SR
43	245	Bobby Davenport	Lima, OH	F	80	bobby-davenport-1	4.2 Pts, 4.0 Reb, 0.4 Ast	JR
12	220	Luis Guzman		C	81	luis-guzman-2	2.9 Pts, 2.5 Reb, 0.2 Ast	JR
32	185	Duke Cooper	Reston, VA	G	76	duke-cooper-1	4.3 Pts, 2.4 Reb, 1.0 Ast	SO
4	170	Liviti Clarke		G	73	liviti-clarke-1	1.8 Pts, 0.4 Reb, 0.5 Ast	JR
	180	Kris Kuhn	Omaha, NE	G	75	kris-kuhn-1	1.7 Pts, 0.9 Reb, 0.3 Ast	FR
30	185	Brett Green	Midland, PA	G	74	brett-green-1	1.0 Pts, 0.0 Reb, 0.0 Ast	FR
44	220	Pierre Darden	Cincinnati, OH	F	80	pierre-darden-1	1.0 Pts, 0.0 Reb, 0.0 Ast	SO
33	225	Mekele Cooper	Saginaw, MI	F	78	mekele-cooper-1	0.5 Pts, 0.0 Reb, 0.0 Ast	FR
15	175	John Caruso	Rocky River, OH	G	72	john-caruso-1	0.0 Pts, 0.2 Reb, 0.2 Ast	SR
11	210	Hanif Pollock	Baltimore, MD	G	74	hanif-pollock-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
