number	weight	playerName	hometown	pos	height	playerId	summary	class
44	215	Donald Cole	Port Arthur, TX	C	80	donald-cole-1	17.5 Pts, 8.2 Reb, 1.4 Ast	SR
32	188	Felton Freeman	Abilene, TX	F	77	felton-freeman-1	10.0 Pts, 4.3 Reb, 1.2 Ast	SR
20	162	Robert Shannon	Baton Rouge, LA	G	70	robert-shannon-1	9.7 Pts, 2.8 Reb, 6.0 Ast	SR
33	239	Eddy Fobbs	Silsbee, TX	C	83	eddy-fobbs-1	7.2 Pts, 5.5 Reb, 0.3 Ast	JR
10	160	Eddy Barlow	Houston, TX	G	72	eddy-barlow-1	6.3 Pts, 1.3 Reb, 1.3 Ast	SR
23	170	Jason Stephenson	Houston, TX	G	74	jason-stephenson-1	5.5 Pts, 1.1 Reb, 0.9 Ast	JR
4	226	Jay Oliphant	Huntsville, TX	F	77	jay-oliphant-1	4.4 Pts, 4.8 Reb, 1.1 Ast	SR
31	178	Chris Jordan	Hitchcock, TX	G	76	chris-jordan-1	4.2 Pts, 2.1 Reb, 0.9 Ast	SO
1	183	Mario Kinsey	Waco, TX	G	74	mario-kinsey-1	5.1 Pts, 1.9 Reb, 1.5 Ast	SO
	198	Rodrick Winters	Orange, TX	G	77	rodrick-winters-1	2.8 Pts, 2.8 Reb, 0.5 Ast	JR
11	184	Marcus Ebow	Houston, TX	G	74	marcus-ebow-1	2.3 Pts, 1.0 Reb, 2.0 Ast	FR
24	183	Noah Ballou	Garland, TX	G	75	noah-ballou-1	2.2 Pts, 1.0 Reb, 1.0 Ast	JR
15	219	Sam Onwuchekwa	Sugar Land, TX	F	75	sam-onwuchekwa-1	0.6 Pts, 0.5 Reb, 0.4 Ast	FR
50	229	Nick Christopher	Tomball, TX	C	80	nick-christopher-1	2.0 Pts, 0.5 Reb, 0.0 Ast	SR
