number	weight	playerName	hometown	pos	height	playerId	summary	class
44	230	Phillip Ramelli	New Orleans, LA	C	82	phillip-ramelli-1	11.5 Pts, 5.7 Reb, 3.2 Ast	JR
4	220	Robert Merritt	Oklahoma City, OK	F	78	robert-merritt-1	9.4 Pts, 4.2 Reb, 2.1 Ast	SO
33	180	Tyson Dorsey		G	75	tyson-dorsey-1	9.6 Pts, 1.7 Reb, 1.1 Ast	JR
5	200	Eddie Harper	Laurel, MS	G	77	eddie-harper-1	8.5 Pts, 3.0 Reb, 1.5 Ast	JR
32	165	Cornell Felton	Alexandria, VA	G	71	cornell-felton-1	8.2 Pts, 2.9 Reb, 4.0 Ast	SR
14	228	Jon Mills	Winfield, AL	F	78	jon-mills-1	7.3 Pts, 3.1 Reb, 1.3 Ast	SO
31	227	Bryan Boerjan	Rock Falls, IL	F	80	bryan-boerjan-1	3.4 Pts, 1.6 Reb, 1.0 Ast	SO
42	227	Josh Hare	Cleveland, TN	F	78	josh-hare-2	3.2 Pts, 2.2 Reb, 0.9 Ast	JR
52	235	Sebastian Sachse		C	80	sebastian-sachse-1	2.8 Pts, 1.8 Reb, 0.3 Ast	JR
55	177	Anthony LoPiano	Franklin Square, NY	G	73	anthony-lopiano-1	1.1 Pts, 0.6 Reb, 0.8 Ast	SO
