number	weight	playerName	hometown	pos	height	playerId	summary	class
4	192	Tony Bland	Los Angeles, CA	G	77	tony-bland-1	16.4 Pts, 3.5 Reb, 3.4 Ast	SR
30	241	Mike Mackell	Washington, DC	C	81	mike-mackell-1	14.4 Pts, 4.6 Reb, 0.7 Ast	SR
1	179	Deandre Moore	Norwalk, CA	G	70	deandre-moore-1	8.3 Pts, 3.7 Reb, 4.1 Ast	SR
21	220	Evan Burns	Los Angeles, CA	F	80	evan-burns-1	9.2 Pts, 5.1 Reb, 1.1 Ast	FR
34	196	Aerick Sanders	Carson, CA	F	80	aerick-sanders-1	6.1 Pts, 7.6 Reb, 1.2 Ast	JR
22	225	Stephen Sir	Minnetonka, MN	G	78	stephen-sir-1	5.5 Pts, 1.1 Reb, 0.9 Ast	FR
0	192	Tommy Johnson	Los Angeles, CA	G	76	tommy-johnson-2	5.6 Pts, 2.6 Reb, 1.8 Ast	SO
33	225	Chris Manker	Laguna Beach, CA	C	84	chris-manker-1	2.9 Pts, 1.2 Reb, 0.2 Ast	SO
5	203	Travis Hanour	Laguna Beach, CA	G	79	travis-hanour-1	3.1 Pts, 3.1 Reb, 1.0 Ast	SO
15	190	John Sharper	Oakland, CA	G	72	john-sharper-1	1.9 Pts, 0.8 Reb, 0.6 Ast	FR
20	235	Trimaine Davis	Bay Point, CA	F	79	trimaine-davis-1	1.5 Pts, 1.1 Reb, 0.0 Ast	FR
32	190	Ben Wardrop	Anaheim, CA	G	74	ben-wardrop-1	0.9 Pts, 0.0 Reb, 0.4 Ast	JR
44	205	Markee White	Long Beach, CA	F	79	markee-white-2	0.3 Pts, 0.5 Reb, 0.5 Ast	FR
12	170	Andre Torres	Trula Vista, CA	G	69	andre-torres-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
