number	weight	playerName	hometown	pos	height	playerId	summary	class
3	195	Amir Abdur-Rahim	Atlanta, GA	G	75	amir-abdur-rahim-1	15.4 Pts, 3.3 Reb, 2.1 Ast	JR
5	195	Terry West	Camilla, GA	F	78	terry-west-1	11.5 Pts, 4.7 Reb, 0.9 Ast	JR
10	178	Marcus Smith	College Park, GA	G	72	marcus-smith-2	11.0 Pts, 2.4 Reb, 1.3 Ast	SR
21	215	Gary Solomon	Detroit, MI	F	77	gary-solomon-1	10.5 Pts, 4.6 Reb, 1.4 Ast	JR
42	215	Jonathan Walker	Atlanta, GA	C	80	jonathan-walker-1	5.1 Pts, 4.1 Reb, 0.5 Ast	FR
11	150	Dyron Clark	Baton Rouge, LA	G	69	dyron-clark-1	3.3 Pts, 2.6 Reb, 3.0 Ast	SR
1	170	Michael Gardener	Detroit, MI	G	71	michael-gardener-1	3.4 Pts, 2.5 Reb, 3.3 Ast	JR
32	200	Wesley Haynes	Hammond, LA	F	75	wesley-haynes-1	2.7 Pts, 3.0 Reb, 0.2 Ast	JR
30	195	Lane Frey	Donaldsonville, LA	G	76	lane-frey-1	2.3 Pts, 0.9 Reb, 0.3 Ast	JR
33	185	Dee Gadsden	Marietta, GA	G	74	dee-gadsden-1	2.9 Pts, 1.1 Reb, 0.7 Ast	SO
55	270	Marcus Verner	Columbus, MS	C	80	marcus-verner-1	0.3 Pts, 0.9 Reb, 0.1 Ast	FR
40	235	Stephen Ameh		C	84	stephen-ameh-1	0.8 Pts, 0.8 Reb, 0.0 Ast	SO
32	180	Micheal Cyprien	New Orleans, LA	G	75	micheal-cyprien-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
15	165	Cuevas Sapp	New Orleans, LA	F	79	cuevas-sapp-1	0.0 Pts, 0.5 Reb, 0.0 Ast	FR
24	195	Adrian Scott	Tuscaloosa, AL	G	75	adrian-scott-1	0.0 Pts, 0.3 Reb, 0.0 Ast	SO
