number	weight	playerName	hometown	pos	height	playerId	summary	class
33	220	Desmon Farmer		G	77	desmon-farmer-1	18.7 Pts, 4.8 Reb, 1.8 Ast	JR
22	205	Errick Craven	Torrance, CA	G	74	errick-craven-1	13.0 Pts, 5.3 Reb, 2.6 Ast	SO
21	240	Rory O'Neil	Ridgecrest, CA	C	83	rory-oneil-1	10.1 Pts, 4.9 Reb, 0.8 Ast	SO
1	195	Roydell Smiley	Seattle, WA	G	76	roydell-smiley-1	8.6 Pts, 2.6 Reb, 1.2 Ast	JR
2	225	Nick Curtis	Oxnard, CA	F	80	nick-curtis-1	6.6 Pts, 5.3 Reb, 0.7 Ast	SO
24	215	Derrick Craven	Torrance, CA	G	74	derrick-craven-1	4.6 Pts, 2.2 Reb, 2.3 Ast	SO
4	255	Gregg Guenther	Calabasas, CA	F	80	gregg-guenther-1	6.2 Pts, 5.0 Reb, 0.9 Ast	SO
4	185	Robert Hutchinson	Albany, GA	G	73	robert-hutchinson-1	5.1 Pts, 1.0 Reb, 2.3 Ast	SR
31	200	Jerry Dupree	Moreno Valley, CA	F	79	jerry-dupree-1	5.0 Pts, 3.4 Reb, 0.4 Ast	JR
15	260	Kostas Charissis		C	83	kostas-charissis-1	2.8 Pts, 3.7 Reb, 0.8 Ast	SR
0	170	Brandon Brooks	Portland, OR	G	73	brandon-brooks-4	4.5 Pts, 0.7 Reb, 3.5 Ast	SO
10	230	Jonathan Oliver	New York, NY	C	84	jonathan-oliver-2	2.5 Pts, 1.6 Reb, 0.1 Ast	JR
3	185	Michael Mehanna	Chino Hills, CA	G	74	michael-mehanna-1	1.1 Pts, 0.1 Reb, 0.0 Ast	FR
30	190	Eze Burts	Los Angeles, CA	G	75	eze-burts-1	0.5 Pts, 0.2 Reb, 0.0 Ast	SO
42	220	Derek Roberts	Indian Wells, CA		77	derek-roberts-1	0.2 Pts, 1.0 Reb, 0.2 Ast	SR
32	225	Ed Chang	Dallas, TX	F	79	ed-chang-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
11	175	Peter McClaslin	Palos Verdes, CA	G	72	peter-mcclaslin-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
