number	weight	playerName	hometown	pos	height	playerId	summary	class
13	195	Quinton Ross	Dallas, TX	G	78	quinton-ross-1	20.3 Pts, 6.4 Reb, 2.1 Ast	SR
11	195	Bryan Hopkins	Dallas, TX	G	72	bryan-hopkins-1	13.1 Pts, 3.2 Reb, 3.9 Ast	FR
1	220	Patrick Simpson	Denver, CO	F	81	patrick-simpson-1	11.9 Pts, 7.1 Reb, 1.2 Ast	SO
21	250	Eric Castro	Oklahoma City, OK	C	80	eric-castro-1	9.0 Pts, 6.0 Reb, 1.1 Ast	SO
3	198	Justin Isham	Lancaster, TX	G	77	justin-isham-1	7.6 Pts, 3.5 Reb, 2.5 Ast	SO
24	212	Kris Lowe	Roswell, GA	G	78	kris-lowe-1	4.3 Pts, 2.6 Reb, 0.9 Ast	JR
33	235	Jibran Kelley	Lee's Summit, MO	F	80	jibran-kelley-1	2.0 Pts, 3.0 Reb, 0.3 Ast	SR
23	195	Lavardicus Atkins	Pelham, GA	G	75	lavardicus-atkins-1	1.8 Pts, 0.9 Reb, 0.6 Ast	SO
5	205	Brian Miller	Flower Mound, TX	G	77	brian-miller-1	2.1 Pts, 0.7 Reb, 0.5 Ast	FR
50	275	Nigel Smith	Arlington, TX	C	82	nigel-smith-1	1.8 Pts, 1.8 Reb, 0.0 Ast	SR
25	240	Donatas Rackauskas		C	83	donatas-rackauskas-1	0.7 Pts, 1.1 Reb, 0.1 Ast	FR
12	195	Bobby Aitkenhead		G	74	bobby-aitkenhead-1	0.5 Pts, 0.2 Reb, 0.1 Ast	SO
20	175	Michael Dement	Plano, TX	G	72	michael-dement-1	0.6 Pts, 0.0 Reb, 0.2 Ast	SO
22	170	Ryan Hopkins	Dallas, TX	G	74	ryan-hopkins-2	0.4 Pts, 0.4 Reb, 0.2 Ast	FR
