number	weight	playerName	hometown	pos	height	playerId	summary	class
5	220	Brandon Brown	Houma, LA	F	80	brandon-brown-3	13.5 Pts, 7.4 Reb, 2.5 Ast	SR
3	195	Waitari Marsh	Chicago, IL	G	75	waitari-marsh-1	14.6 Pts, 4.2 Reb, 3.3 Ast	SR
2	185	Brandon Spann	New Orleans, LA	G	73	brandon-spann-1	11.7 Pts, 2.5 Reb, 3.0 Ast	SR
15	230	Nick Sinville	Shreveport, LA	F	78	nick-sinville-1	8.4 Pts, 4.7 Reb, 0.7 Ast	SR
45	218	Wayne Tinsley	Fontana, CA	G	77	wayne-tinsley-1	6.9 Pts, 3.8 Reb, 2.7 Ast	JR
44	242	Ivan Pjevcevic		F	84	ivan-pjevcevic-1	5.9 Pts, 3.1 Reb, 0.8 Ast	JR
11	187	Marcus Kinzer	Nashville, TN	G	70	marcus-kinzer-1	4.0 Pts, 1.4 Reb, 2.0 Ast	SO
23	185	Byron Parker	Stone Mountain, GA	G	74	byron-parker-1	2.7 Pts, 2.3 Reb, 1.2 Ast	SR
30	181	Ben Benfield	River Ridge, LA	G	76	ben-benfield-1	3.2 Pts, 0.9 Reb, 0.4 Ast	SO
4	215	Karl Hollingsworth	Jonesboro, GA	F	77	karl-hollingsworth-1	3.1 Pts, 1.9 Reb, 0.4 Ast	SO
50	232	Quincy Davis	Los Angeles, CA	C	81	quincy-davis-1	2.4 Pts, 2.5 Reb, 0.1 Ast	FR
40	237	Vytas Tatarunas		F	80	vytas-tatarunas-1	3.2 Pts, 1.3 Reb, 0.3 Ast	FR
54	246	George Brown	Nashville, TN	C	82	george-brown-1	1.4 Pts, 1.4 Reb, 0.0 Ast	JR
21	175	Marc Siegel	Lake Forest, IL	G	72	marc-siegel-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
