number	weight	playerName	hometown	pos	height	playerId	summary	class
1	180	Mike Lenzly	Jonesboro, GA	G	75	mike-lenzly-1	15.7 Pts, 5.0 Reb, 4.1 Ast	SR
23	185	Lee Nixon	Hanahan, SC	G	76	lee-nixon-1	14.8 Pts, 4.0 Reb, 3.0 Ast	SR
2	170	Adrien Borders	Lilburn, GA	G	72	adrien-borders-1	9.7 Pts, 2.8 Reb, 3.1 Ast	SO
31	240	Tyler Berg	Mount Holly, NC	C	81	tyler-berg-1	9.6 Pts, 4.9 Reb, 0.4 Ast	FR
32	225	Sam Daniels	Asheville, NC	C	81	sam-daniels-2	7.8 Pts, 4.0 Reb, 0.7 Ast	SO
21	250	Howard Wilkerson	Eden, NC	F	78	howard-wilkerson-1	5.9 Pts, 4.5 Reb, 1.1 Ast	FR
40	230	Grant Sterley	Carmel, IN	F	79	grant-sterley-1	5.2 Pts, 3.3 Reb, 1.1 Ast	SR
14	193	David Eaton	Atlanta, GA	G	76	david-eaton-1	3.9 Pts, 0.8 Reb, 0.6 Ast	JR
15	170	Byron Fields	Cincinnati, OH	G	74	byron-fields-1	2.2 Pts, 1.2 Reb, 1.2 Ast	FR
11	215	Jeff Tarr	Forbush, NC	F	79	jeff-tarr-1	2.2 Pts, 1.5 Reb, 0.3 Ast	SO
3	200	Justin Stephens	Newnan, GA	G	74	justin-stephens-1	9.0 Pts, 3.5 Reb, 2.0 Ast	SO
10	170	Edmond Davis	Baton Rouge, LA	G	70	edmond-davis-2	0.8 Pts, 0.5 Reb, 0.9 Ast	JR
