number	weight	playerName	hometown	pos	height	playerId	summary	class
3	180	Dewarick Spencer	Mobile, AL	G	76	dewarick-spencer-1	19.0 Pts, 5.6 Reb, 2.6 Ast	JR
4	200	J.J. Montgomery	Lufkin, TX	G	77	jj-montgomery-1	17.9 Pts, 5.8 Reb, 1.2 Ast	JR
11	170	Tevoris Thompson	Greenville, SC	G	73	tevoris-thompson-1	11.0 Pts, 1.4 Reb, 0.7 Ast	SR
32	235	Kim Adams	Little Rock, AR	F	80	kim-adams-1	9.3 Pts, 9.8 Reb, 1.7 Ast	SR
5	160	Antonio Rambo	Memphis, TN	G	70	antonio-rambo-1	7.6 Pts, 1.7 Reb, 2.4 Ast	SR
42	255	Evgueni Sokolov	Melbourne, FL	C	82	evgueni-sokolov-1	3.2 Pts, 1.6 Reb, 0.7 Ast	JR
1	190	Andre' King-Holland	Melbourne, FL	G	75	andre-king-holland-1	3.0 Pts, 1.8 Reb, 1.5 Ast	FR
0	210	Chris Moore	Lancaster, TX	F	79	chris-moore-1	2.3 Pts, 3.0 Reb, 0.6 Ast	SO
23	190	Lorenzo Hampton	Jonesboro, AR	G	77	lorenzo-hampton-1	4.5 Pts, 1.6 Reb, 0.5 Ast	SO
50	255	Theo Little	Little Rock, AR	C	83	theo-little-1	1.7 Pts, 1.7 Reb, 0.0 Ast	SO
12	166	Joseph Bailey	Cotter, AR	G	72	joseph-bailey-1	1.3 Pts, 0.2 Reb, 0.2 Ast	JR
14	175	Yual Banks	Memphis, TN	G	70	yual-banks-1	0.8 Pts, 0.2 Reb, 0.6 Ast	FR
44	230	Lucious Lenear	Turrell, AR	F	79	lucious-lenear-1	0.0 Pts, 0.9 Reb, 0.5 Ast	JR
