number	weight	playerName	hometown	pos	height	playerId	summary	class
50	255	Nick Billings	Kodiak, AK	C	84	nick-billings-1	12.5 Pts, 6.9 Reb, 0.6 Ast	JR
23	190	Brandon Carter	McPherson, KS	G	75	brandon-carter-1	11.0 Pts, 3.5 Reb, 1.6 Ast	SR
22	175	Troy Hailey	Hyattsville, MD	G	73	troy-hailey-1	9.7 Pts, 2.7 Reb, 2.4 Ast	FR
33	245	Alex Adediran	Covington, GA	F	80	alex-adediran-1	8.0 Pts, 5.2 Reb, 0.7 Ast	JR
1	220	Sebastian Hermenier	Rockville, MD	F	78	sebastian-hermenier-1	6.0 Pts, 4.6 Reb, 1.0 Ast	SO
24	205	Billy Williams	Milwaukee, WI	F	75	billy-williams-1	4.9 Pts, 3.1 Reb, 2.1 Ast	JR
32	225	Joe White	Winsted, CT	C	81	joe-white-2	2.7 Pts, 2.4 Reb, 0.4 Ast	JR
	215	Joel Casseus		F	75	joel-casseus-1	2.3 Pts, 2.0 Reb, 0.7 Ast	SO
11	180	Louie Karis	Brooklyn, NY	G	73	louie-karis-1	1.7 Pts, 0.5 Reb, 0.2 Ast	SO
4	180	Brett Watson	Wichita, KS	G	72	brett-watson-1	0.9 Pts, 0.5 Reb, 0.5 Ast	SR
3	220	Robert Todd	Titusville, FL	F	78	robert-todd-1	1.2 Pts, 1.2 Reb, 0.8 Ast	JR
33	220	Giovanni Olomo		F	80	giovanni-olomo-1	0.8 Pts, 0.7 Reb, 0.0 Ast	FR
10	170	Pat Schultz	Monroe, NY	G	72	pat-schultz-1	1.0 Pts, 0.2 Reb, 0.0 Ast	JR
5	170	Darel Lucas	Wichita, KS	G	73	darel-lucas-1	1.5 Pts, 1.0 Reb, 0.5 Ast	JR
14	205	Kevin Kloostra		F	76	kevin-kloostra-1	0.7 Pts, 0.4 Reb, 0.0 Ast	FR
