number	weight	playerName	hometown	pos	height	playerId	summary	class
		Jakob Sigurdarson		G	76	jakob-sigurdarson-1	14.7 Pts, 3.2 Reb, 3.3 Ast	JR
		Grant Davis		F	80	grant-davis-1	11.7 Pts, 8.5 Reb, 1.2 Ast	SR
		Derrick Williams		G	69	derrick-williams-1	11.1 Pts, 3.2 Reb, 3.2 Ast	SR
		Shema Mbyirukira		C	83	shema-mbyirukira-1	11.0 Pts, 5.7 Reb, 1.2 Ast	JR
		James Collins		G	74	james-collins-2	10.5 Pts, 2.8 Reb, 1.8 Ast	SO
		Sredrick Powe		F	79	sredrick-powe-1	3.5 Pts, 2.3 Reb, 0.7 Ast	JR
		Bucky McMillan		G	75	bucky-mcmillan-1	2.9 Pts, 0.8 Reb, 1.8 Ast	FR
		Rostislav Vergun		F	79	rostislav-vergun-1	2.8 Pts, 1.1 Reb, 1.0 Ast	JR
		Jimmy Amerson		G	76	jimmy-amerson-1	2.2 Pts, 1.9 Reb, 0.6 Ast	JR
		Augustinas Vitas		C	83	augustinas-vitas-1	1.8 Pts, 2.0 Reb, 0.4 Ast	JR
		Helgi Margeirsson		G	75	helgi-margeirsson-1	1.8 Pts, 0.7 Reb, 0.8 Ast	SO
		Andrius Montrimas		G	76	andrius-montrimas-1	1.1 Pts, 0.5 Reb, 0.2 Ast	JR
		DeQue Carter		G	75	deque-carter-1	1.6 Pts, 0.2 Reb, 0.0 Ast	JR
		Joshua Bailey		F	77	joshua-bailey-1	0.7 Pts, 1.1 Reb, 0.4 Ast	SO
	225	Thomas Viglianco	Madison, AL	F	82	thomas-viglianco-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
