number	weight	playerName	hometown	pos	height	playerId	summary	class
12	200	Ron Lewis	Columbus, OH	G	76	ron-lewis-1	17.0 Pts, 4.7 Reb, 2.9 Ast	SO
14	240	John Reimold	Greenville, PA	F	78	john-reimold-1	15.1 Pts, 4.8 Reb, 2.8 Ast	JR
45	222	Kevin Netter	Richmond Dale, OH	C	82	kevin-netter-1	12.5 Pts, 4.4 Reb, 0.9 Ast	SR
2	243	Josh Almanson	Bowling Green, OH	F	80	josh-almanson-1	8.0 Pts, 4.8 Reb, 1.2 Ast	JR
32	170	Steven Wright	Dayton, OH	G	75	steven-wright-1	6.5 Pts, 4.2 Reb, 4.0 Ast	SO
43	240	Cory Eyink	Maria Stein, OH	F	80	cory-eyink-1	4.9 Pts, 2.9 Reb, 1.0 Ast	JR
33	190	Austin Montgomery	Indianapolis, IN	G	77	austin-montgomery-1	4.7 Pts, 2.3 Reb, 0.9 Ast	FR
33	185	Chris Hobson	Blue Island, IL	G	74	chris-hobson-1	1.9 Pts, 0.9 Reb, 0.4 Ast	FR
41	260	Matt Lefeld	Coldwater, OH	C	83	matt-lefeld-1	1.4 Pts, 1.0 Reb, 0.1 Ast	FR
1	220	Germain Fitch	Huntsville, AL	F	77	germain-fitch-1	1.9 Pts, 1.9 Reb, 0.9 Ast	SO
3	196	Cole Magner	Palmer, AK	G	74	cole-magner-1	2.2 Pts, 1.4 Reb, 0.8 Ast	SO
5	170	Jabari Mattox	Bloomingdale, IL	G	73	jabari-mattox-1	0.3 Pts, 1.3 Reb, 2.6 Ast	SR
11	190	Keon Newson	Decatur, GA	G	72	keon-newson-1	0.7 Pts, 0.3 Reb, 0.0 Ast	SO
21	200	Isaac Rosefelt	St. Paul, MN	F	80	isaac-rosefelt-1	0.1 Pts, 0.4 Reb, 0.1 Ast	FR
23	200	Patrick Phillips	Sandusky, OH	G	75	patrick-phillips-1	0.1 Pts, 0.1 Reb, 0.0 Ast	SO
