number	weight	playerName	hometown	pos	height	playerId	summary	class
3	200	Kevin Downey	Livonia, NY	G	75	kevin-downey-1	13.1 Pts, 3.1 Reb, 3.8 Ast	SO
33	240	Toby Foster	Candor, NY	F	78	toby-foster-1	10.4 Pts, 6.2 Reb, 2.3 Ast	SR
50	249	Jon Ferris	Liverpool, NY	F	79	jon-ferris-1	9.7 Pts, 5.0 Reb, 1.1 Ast	SR
11	172	Dewitt Doss	Niagara Falls, NY	G	70	dewitt-doss-1	11.0 Pts, 2.3 Reb, 3.2 Ast	JR
1	215	Darnell Wilson	Wayne, MI	F	78	darnell-wilson-1	6.6 Pts, 4.2 Reb, 1.0 Ast	FR
31	218	Richard Jones	Boston, MA	F	78	richard-jones-1	6.4 Pts, 4.7 Reb, 1.5 Ast	JR
44	295	Yaku Moton-Spruill	Inkster, MI	C	80	yaku-moton-spruill-1	7.0 Pts, 2.6 Reb, 0.2 Ast	SR
14	188	Chuck Harris	Detroit, MI	G	75	chuck-harris-1	4.5 Pts, 3.5 Reb, 2.3 Ast	FR
42	256	Mike Hanley		C	82	mike-hanley-1	2.7 Pts, 1.8 Reb, 0.5 Ast	SO
34	238	Ron Wyatt	Washingtonville, NY	F	80	ron-wyatt-1	1.7 Pts, 1.4 Reb, 0.2 Ast	SO
23	153	Randy Minto	Brooklyn, NY	G	71	randy-minto-1	1.9 Pts, 0.6 Reb, 0.7 Ast	FR
21	250	Luke Hedges		C	82	luke-hedges-1	1.0 Pts, 0.4 Reb, 0.0 Ast	JR
25	168	Andrew Spitler	Buffalo, NY	G	74	andrew-spitler-1	0.2 Pts, 0.2 Reb, 0.2 Ast	JR
