number	weight	playerName	hometown	pos	height	playerId	summary	class
5	225	Sharrod Ford		F	81	sharrod-ford-1	11.9 Pts, 7.2 Reb, 0.6 Ast	JR
22	180	Shawan Robinson	Raleigh, NC	G	74	shawan-robinson-1	10.8 Pts, 3.1 Reb, 2.6 Ast	SO
3	185	Chey Christie	Hartford, CT	G		chey-christie-2	9.1 Pts, 2.7 Reb, 2.4 Ast	JR
12	250	Olu Babalola		F	78	olu-babalola-1	9.0 Pts, 4.6 Reb, 2.0 Ast	JR
43	260	Chris Hobbs	Chapel Hill, NC	F	79	chris-hobbs-1	7.7 Pts, 5.4 Reb, 0.9 Ast	SR
3	195	Vernon Hamilton	Richmond, VA	G	72	vernon-hamilton-1	7.3 Pts, 3.7 Reb, 3.2 Ast	FR
33	220	Akin Akingbala		F	81	akin-akingbala-1	4.8 Pts, 4.6 Reb, 0.3 Ast	SO
2	215	Lamar Rice	Flint, MI	F	79	lamar-rice-1	4.0 Pts, 2.6 Reb, 0.5 Ast	JR
4	250	Steve Allen	Fort Lauderdale, FL	C	82	steve-allen-1	0.8 Pts, 1.0 Reb, 0.0 Ast	SO
22	200	Jimmy Hudson	Eustis, FL	F	76	jimmy-hudson-1	0.4 Pts, 0.3 Reb, 0.3 Ast	FR
11	180	Beau Shay	Galesburg, IL	G	70	beau-shay-1	0.7 Pts, 0.4 Reb, 0.1 Ast	SR
0	175	Ovarus Williams	Snow Hill, NC			ovarus-williams-1	0.2 Pts, 0.0 Reb, 0.0 Ast	FR
1	200	Julian Betko		G	77	julian-betko-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
22	205	Reed Long	Piedmont, SC			reed-long-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
