number	weight	playerName	hometown	pos	height	playerId	summary	class
23	190	Leon Pattman	Memphis, TN	G	74	leon-pattman-1	13.2 Pts, 4.4 Reb, 1.3 Ast	FR
43	244	David Gardner	Minnetonka, MN	C	82	david-gardner-1	8.9 Pts, 3.8 Reb, 1.9 Ast	JR
20	210	Steve Callahan	Cincinnati, OH	G	75	steve-callahan-1	7.9 Pts, 3.7 Reb, 2.1 Ast	JR
21	190	Mike McLaren	Memphis, TN	G	75	mike-mclaren-1	7.0 Pts, 2.8 Reb, 0.8 Ast	JR
22	200	Mike Lang	Chicago, IL	G	77	mike-lang-1	7.8 Pts, 2.4 Reb, 1.5 Ast	SO
42	225	Scott Klingbeil	North Royalton, OH	C	83	scott-klingbeil-1	4.9 Pts, 2.0 Reb, 1.0 Ast	SR
40	210	Calvin Arnold	Sebastopol, CA	F	81	calvin-arnold-1	5.2 Pts, 4.5 Reb, 1.6 Ast	SO
31	195	Jason Meyer	Covington, OH	F	77	jason-meyer-1	6.7 Pts, 2.2 Reb, 0.2 Ast	SO
14	180	Mike Liddy	Lake Forest, IL	G	74	mike-liddy-1	1.3 Pts, 0.9 Reb, 0.4 Ast	JR
11	190	Patrick Cuttica	Hinsdale, IL	F	75	patrick-cuttica-1	1.2 Pts, 0.8 Reb, 0.3 Ast	SO
12	190	Adam Warren	Richland Hills, TX	G	75	adam-warren-1	1.4 Pts, 0.4 Reb, 0.6 Ast	SO
32	210	Jonathan Blakley	Evanston, IL	F	78	jonathan-blakley-1	0.8 Pts, 1.3 Reb, 0.0 Ast	FR
34	195	Trey Blincoe	Alexandria, VA	G	78	trey-blincoe-1	0.9 Pts, 0.6 Reb, 0.1 Ast	FR
24	175	Matt Green	Richmond, VA	G	71	matt-green-1	0.2 Pts, 0.2 Reb, 0.3 Ast	FR
