number	weight	playerName	hometown	pos	height	playerId	summary	class
5	225	Terrance Hunter	Charlotte, NC	F	80	terrance-hunter-1	12.1 Pts, 5.1 Reb, 1.0 Ast	JR
12	160	Miles Davis	Philadelphia, PA	G	66	miles-davis-1	9.2 Pts, 2.2 Reb, 3.0 Ast	SR
33	220	Jahsha Bluntt	Los Angeles, CA	G	77	jahsha-bluntt-1	8.3 Pts, 2.7 Reb, 0.6 Ast	FR
22	210	Carlos Hawkins	Wilmington, DE	G	78	carlos-hawkins-1	8.2 Pts, 2.3 Reb, 1.0 Ast	JR
2	175	Aaron Williams	New Rochelle, NY	G	74	aaron-williams-2	7.4 Pts, 3.0 Reb, 1.5 Ast	JR
55	235	Aaron Matthews	Seaford, DE	F	78	aaron-matthews-1	7.2 Pts, 5.7 Reb, 1.5 Ast	SR
42	225	Troy Roundtree	Philadelphia, PA	F	77	troy-roundtree-1	2.7 Pts, 1.6 Reb, 0.4 Ast	FR
4	185	Isaiah Nathaniel	Philadelphia, PA	F	77	isaiah-nathaniel-1	2.2 Pts, 0.8 Reb, 0.2 Ast	SR
42	200	Michael Toth	Clifton, VA	G	75	michael-toth-1	1.9 Pts, 0.6 Reb, 0.7 Ast	SO
11	175	Bruce Davis	New Castle, DE	G	71	bruce-davis-1	1.4 Pts, 0.7 Reb, 0.5 Ast	JR
44	190	Rocky Miji	Washington, DC	G	78	rocky-miji-1	1.6 Pts, 0.8 Reb, 0.3 Ast	SO
14	210	Antwaun Dent	Augusta, GA	F	79	antwaun-dent-1	1.8 Pts, 0.6 Reb, 0.3 Ast	SR
33	230	Jeff Postell	Annapolis, MD	F	78	jeff-postell-1	1.5 Pts, 0.6 Reb, 0.2 Ast	FR
21	270	Marques Gantt	Camden, NJ	C	82	marques-gantt-1	1.6 Pts, 2.0 Reb, 0.9 Ast	JR
34	210	Aaron Fleetwood	Raleigh, NC	F	81	aaron-fleetwood-1	0.9 Pts, 0.4 Reb, 0.0 Ast	FR
40	220	Rasheed Oliver	Los Angeles, CA	F	81	rasheed-oliver-1	0.4 Pts, 0.4 Reb, 0.1 Ast	SO
