number	weight	playerName	hometown	pos	height	playerId	summary	class
31	190	Derrick Wiley	Durham, NC	G	76	derrick-wiley-1	14.8 Pts, 5.9 Reb, 1.3 Ast	SR
31	215	Mike Cook	Philadelphia, PA	F	76	mike-cook-2	10.4 Pts, 3.5 Reb, 3.1 Ast	FR
33	245	Erroyl Bing	Largo, FL	F	78	erroyl-bing-1	9.3 Pts, 8.3 Reb, 0.6 Ast	SR
25	215	Moussa Badiane		C	82	moussa-badiane-1	8.5 Pts, 6.3 Reb, 0.6 Ast	JR
1	195	Belton Rivers	Atlanta, GA	G	75	belton-rivers-1	8.2 Pts, 1.5 Reb, 1.6 Ast	SO
51	235	Gabriel Mikulas		F	80	gabriel-mikulas-1	13.0 Pts, 6.8 Reb, 0.9 Ast	SR
10	170	Japhet McNeil	Brooklyn, NY	G	72	japhet-mcneil-1	4.4 Pts, 1.7 Reb, 3.6 Ast	FR
5	220	Frank Robinson	Los Angeles, CA	G	76	frank-robinson-1	3.8 Pts, 1.8 Reb, 0.4 Ast	FR
23	195	Corey Rouse	Kinston, NC	F	80	corey-rouse-1	4.3 Pts, 3.4 Reb, 0.2 Ast	SO
13	195	Luke MacKay		G	77	luke-mackay-1	2.3 Pts, 0.5 Reb, 0.3 Ast	SR
55	250	Garth Grindley		F	80	garth-grindley-1	0.3 Pts, 0.8 Reb, 0.1 Ast	SR
