number	weight	playerName	hometown	pos	height	playerId	summary	class
15	185	Terrence Woods	Memphis, TN	G	75	terrence-woods-1	20.3 Pts, 3.9 Reb, 1.1 Ast	SR
3	170	Demarcus Wilkins	Newnan, GA	G	72	demarcus-wilkins-1	14.3 Pts, 4.5 Reb, 2.5 Ast	SR
30	220	Michael Harper	Alpharetta, GA	C	81	michael-harper-2	9.6 Pts, 4.8 Reb, 0.6 Ast	JR
11	175	Tony Tate	Jersey City, NJ	G	72	tony-tate-1	7.4 Pts, 2.0 Reb, 2.8 Ast	SO
21	200	Jonathan Kelly	Tallahassee, FL	G	78	jonathan-kelly-2	5.3 Pts, 2.6 Reb, 0.9 Ast	SO
25	215	Michael Ayodele		C	81	michael-ayodele-1	5.0 Pts, 4.6 Reb, 0.5 Ast	JR
1	170	Mose White	Tallahassee, FL	G	72	mose-white-1	4.7 Pts, 1.5 Reb, 3.3 Ast	SR
31	215	Richard Russell	Chicago, IL	F	78	richard-russell-1	3.8 Pts, 2.7 Reb, 0.5 Ast	SO
22	195	Brian Zamore		F	80	brian-zamore-1	1.6 Pts, 2.3 Reb, 0.1 Ast	JR
14	198	Jeremy Henderson	Aurora, IL	G	72	jeremy-henderson-1	0.5 Pts, 0.5 Reb, 0.3 Ast	JR
22	200	Michael Sams	Bartow, FL	G	75	michael-sams-1	0.5 Pts, 0.2 Reb, 0.1 Ast	SO
32	230	Sumter Orenthal	Brooklyn, NY	F	79	sumter-orenthal-1	3.0 Pts, 2.0 Reb, 0.3 Ast	SR
