number	weight	playerName	hometown	pos	height	playerId	summary	class
32	210	Brian Bender	Lawrenceville, GA	F	79	brian-bender-1	12.7 Pts, 7.0 Reb, 1.8 Ast	SO
21	180	Chris Wiggins	Warsaw, IN	G	77	chris-wiggins-1	9.0 Pts, 2.9 Reb, 2.1 Ast	SR
3	175	Josh Chiles	Abbeville, SC	G	70	josh-chiles-1	7.6 Pts, 1.7 Reb, 2.1 Ast	JR
34	235	Tim Behrendorff		C	83	tim-behrendorff-1	9.5 Pts, 3.9 Reb, 1.0 Ast	SR
45	225	Brendan Clowry		F	78	brendan-clowry-1	7.0 Pts, 5.9 Reb, 2.7 Ast	SR
13	250	Simon Conn		C	81	simon-conn-1	6.1 Pts, 3.0 Reb, 0.5 Ast	SO
15	180	Andre Manning	Goose Creek, SC	G	70	andre-manning-1	5.8 Pts, 3.4 Reb, 2.9 Ast	SO
30	220	Chris Gash	Kingstown, NC	G	75	chris-gash-1	4.6 Pts, 3.3 Reb, 1.5 Ast	FR
2	195	Bret Noonan	Hamilton, OH	G	75	bret-noonan-1	3.4 Pts, 1.0 Reb, 0.5 Ast	SO
55	240	Robert Shivers	Atlanta, GA	C	78	robert-shivers-1	3.0 Pts, 2.0 Reb, 0.5 Ast	SR
24	210	David Anderson	Boca Raton, FL	F	78	david-anderson-1	3.1 Pts, 1.0 Reb, 0.1 Ast	SO
4	195	Matt Pait	Jeffersonville, IN			matt-pait-1	1.4 Pts, 0.9 Reb, 0.5 Ast	FR
