number	weight	playerName	hometown	pos	height	playerId	summary	class
23	175	Marquis Poole	Los Angeles, CA	G	74	marquis-poole-1	19.0 Pts, 3.8 Reb, 6.0 Ast	SR
31	200	Scott Henry	Orem, UT	F	79	scott-henry-1	14.1 Pts, 7.3 Reb, 2.2 Ast	SR
11	165	Jeff Gardner	Orem, UT	G	74	jeff-gardner-1	11.1 Pts, 2.2 Reb, 3.4 Ast	JR
34	195	Doug D'Amore	Tucson, AZ	F	77	doug-damore-1	6.6 Pts, 2.7 Reb, 1.5 Ast	JR
42	270	Jesse Smith	Mackay, ID	C	82	jesse-smith-1	6.5 Pts, 4.5 Reb, 0.5 Ast	JR
21	225	Nate Rede	Monterey, CA	F	79	nate-rede-1	6.3 Pts, 2.4 Reb, 0.5 Ast	JR
5	180	Arzelle Lewis	Denver, CO	G	74	arzelle-lewis-1	4.8 Pts, 1.5 Reb, 1.6 Ast	JR
33	200	Aaron Bradley	Burley, ID	G	77	aaron-bradley-1	3.9 Pts, 1.6 Reb, 0.2 Ast	SR
10	190	Maurice Thomas	Las Vegas, NV	G	70	maurice-thomas-1	2.3 Pts, 0.6 Reb, 0.7 Ast	JR
15	190	Che' Jordan	Champaign, IL	F	77	che-jordan-1	3.3 Pts, 1.6 Reb, 0.3 Ast	JR
32	210	Sale' Key	Citrus Heights, CA	F	77	sale-key-1	0.9 Pts, 1.0 Reb, 0.1 Ast	JR
