number	weight	playerName	hometown	pos	height	playerId	summary	class
34	195	David Moss	South Holland, IL	G	77	david-moss-1	13.6 Pts, 4.6 Reb, 3.5 Ast	SO
24	180	Eric Gray	Chicago, IL	G	73	eric-gray-1	7.6 Pts, 1.1 Reb, 0.8 Ast	FR
23	215	Amani Daanish	Los Angeles, CA	F	79	amani-daanish-1	7.0 Pts, 5.0 Reb, 0.3 Ast	JR
30	172	Tyson Schnitker	Robinson, IL	G	74	tyson-schnitker-1	5.5 Pts, 2.0 Reb, 2.0 Ast	FR
1	185	Marcus Howard	Elgin, IL	G	75	marcus-howard-1	6.7 Pts, 2.2 Reb, 1.1 Ast	SR
11	210	Catrel Green	Aurora, IL	F	77	catrel-green-1	4.3 Pts, 3.7 Reb, 0.6 Ast	SR
44	237	Jerod Adler	Monroe, IN	F	81	jerod-adler-1	3.8 Pts, 2.7 Reb, 0.4 Ast	JR
13	185	Wilfred Antoine	New Orleans, LA	G	71	wilfred-antoine-1	3.4 Pts, 1.5 Reb, 1.6 Ast	SR
20	190	Russell Trudeau	Lafayette, IN	G	76	russell-trudeau-1	3.2 Pts, 1.1 Reb, 0.5 Ast	FR
34	230	Ted Morris	St. Louis, MO	C	82	ted-morris-2	3.7 Pts, 2.2 Reb, 0.0 Ast	SO
2	190	Darron Evans	Chicago, IL	F	79	darron-evans-1	1.7 Pts, 2.1 Reb, 0.5 Ast	SO
34	210	Jake Sams	Mount Zion, IL	F	80	jake-sams-1	1.4 Pts, 0.8 Reb, 0.1 Ast	JR
10	185	Elliott Booe	Clay City, IN	G	71	elliott-booe-1	1.2 Pts, 0.3 Reb, 0.2 Ast	FR
