number	weight	playerName	hometown	pos	height	playerId	summary	class
4	170	Antoine Landry	New Orleans, LA	G	71	antoine-landry-1	13.3 Pts, 2.1 Reb, 1.6 Ast	SR
3	195	Brad Boyd	Opelousas, LA	G	78	brad-boyd-1	11.9 Pts, 1.6 Reb, 3.6 Ast	SR
45	193	Brian Hamilton	Houston, TX	F	78	brian-hamilton-1	11.4 Pts, 6.9 Reb, 1.8 Ast	JR
21	206	Laurie Bridges	New Orleans, LA	G	77	laurie-bridges-1	10.1 Pts, 6.0 Reb, 3.1 Ast	SR
23	211	Dwayne Mitchell	New Orleans, LA	G	77	dwayne-mitchell-1	9.3 Pts, 4.3 Reb, 3.2 Ast	SO
42	227	Cedric Williams	Houston, TX	F	80	cedric-williams-1	8.4 Pts, 4.0 Reb, 0.7 Ast	JR
5	208	Orien Greene		G	76	orien-greene-1	10.4 Pts, 4.6 Reb, 3.0 Ast	JR
11	268	Chris Cameron		C	83	chris-cameron-1	6.3 Pts, 3.3 Reb, 0.8 Ast	SO
22	205	Ross Mouton	Lafayette, LA	G	79	ross-mouton-1	1.4 Pts, 1.0 Reb, 0.2 Ast	FR
41	204	Chris Williams	Los Angeles, CA	F	81	chris-williams-5	1.2 Pts, 1.0 Reb, 0.1 Ast	SR
34	255	Adam James	Lafayette, LA	F	81	adam-james-1	5.0 Pts, 2.5 Reb, 0.0 Ast	FR
30	205	Matt Foster	St. Louis, MO	G	79	matt-foster-1	0.9 Pts, 0.7 Reb, 0.0 Ast	SO
31	181	Rhett Hebert	Erath, LA	G	73	rhett-hebert-1	0.6 Pts, 0.0 Reb, 0.0 Ast	FR
15	175	Chris Cucchiara	Covington, LA	G	74	chris-cucchiara-1	2.0 Pts, 0.0 Reb, 1.0 Ast	SO
13	198	Alphonso Williams	Cecilia, LA	G	74	alphonso-williams-1	0.4 Pts, 0.4 Reb, 0.0 Ast	FR
