number	weight	playerName	hometown	pos	height	playerId	summary	class
32	235	Kris Humphries		F	81	kris-humphries-1	21.7 Pts, 10.1 Reb, 0.7 Ast	FR
22	185	Ben Johnson	Minneapolis, MN	G	75	ben-johnson-2	11.5 Pts, 2.5 Reb, 2.5 Ast	SR
31	200	Adam Boone	Minneapolis, MN	G	75	adam-boone-1	8.4 Pts, 3.3 Reb, 4.1 Ast	JR
41	220	Mike Bauer	Hastings, MN	F	80	mike-bauer-1	8.2 Pts, 5.1 Reb, 1.3 Ast	SR
11	195	Maurice Hargrow	St. Paul, MN	G	77	maurice-hargrow-1	10.8 Pts, 4.2 Reb, 2.6 Ast	JR
23	242	Stan Gaines	Chicago, IL	F	79	stan-gaines-1	5.5 Pts, 3.2 Reb, 1.5 Ast	SO
42	270	Jeff Hagen	Minnetonka, MN	C	83	jeff-hagen-1	4.3 Pts, 3.6 Reb, 1.3 Ast	JR
3	170	Aaron Robinson	Rockford, IL	G	70	aaron-robinson-1	2.6 Pts, 1.1 Reb, 1.4 Ast	JR
34	211	Brent Lawson	Maple Grove, MN	G	76	brent-lawson-1	1.5 Pts, 1.2 Reb, 0.7 Ast	JR
24	186	Tyree Bolden	Milwaukee, WI	F	77	tyree-bolden-1	1.2 Pts, 0.6 Reb, 0.1 Ast	SR
55	255	Matt Smriga	Apple Valley, MN	F	80	matt-smriga-1	1.0 Pts, 1.0 Reb, 0.0 Ast	JR
25	250	Aliou Kane	Dallas, TX	C	82	aliou-kane-1	0.5 Pts, 0.6 Reb, 0.1 Ast	FR
5	170	Wade Hokenson	Watertown, MN	G	69	wade-hokenson-1	0.6 Pts, 0.2 Reb, 0.3 Ast	SR
35	215	Randy Chall	Forest Lake, MN	F	77	randy-chall-1	0.2 Pts, 0.1 Reb, 0.0 Ast	SR
