number	weight	playerName	hometown	pos	height	playerId	summary	class
3	190	Marcus Bullock	Cherry Hill, NJ	G	72	marcus-bullock-1	8.1 Pts, 3.6 Reb, 2.0 Ast	SR
30	210	Craig Walls	Minneapolis, MN	F	79	craig-walls-1	9.2 Pts, 7.1 Reb, 1.6 Ast	JR
14	220	Blagoj Janev		C	80	blagoj-janev-1	10.2 Pts, 3.6 Reb, 1.0 Ast	FR
0	250	Ben Sturgill	Hamilton, OH	C	80	ben-sturgill-1	13.1 Pts, 5.4 Reb, 0.8 Ast	JR
10	208	Ronnie Dennis	Abbeville, AL	G	75	ronnie-dennis-1	6.0 Pts, 2.2 Reb, 0.9 Ast	SO
1	180	Shejdie Childs	Wynnewood, PA	G	70	shejdie-childs-1	5.9 Pts, 1.7 Reb, 2.8 Ast	SO
15	210	Damione Liddell	Omaha, NE	F	79	damione-liddell-1	5.0 Pts, 3.5 Reb, 0.3 Ast	JR
31	210	Griffin Walker	Coffeyville, KS	G	76	griffin-walker-1	4.3 Pts, 3.6 Reb, 0.9 Ast	SR
13	200	Ioannis Karalis		G	76	ioannis-karalis-1	3.5 Pts, 1.3 Reb, 1.0 Ast	SO
21	175	Jermaine Anderson	Beverly, MA	G	73	jermaine-anderson-2	4.1 Pts, 1.9 Reb, 1.4 Ast	FR
45	255	Kyle Peterson	Malone, WI	C	81	kyle-peterson-1	2.3 Pts, 2.2 Reb, 0.4 Ast	SR
20	161	Roland Williams	Elgin AFB, FL	G	71	roland-williams-1	2.7 Pts, 0.7 Reb, 1.1 Ast	JR
2	190	Jeremy Friel	Durham, NH	G	74	jeremy-friel-1	1.4 Pts, 0.4 Reb, 0.2 Ast	SO
24	215	Alray Taylor	Roxbury, MA	G	75	alray-taylor-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
