number	weight	playerName	hometown	pos	height	playerId	summary	class
24	210	Julius Hodge		G	79	julius-hodge-1	18.2 Pts, 6.4 Reb, 3.6 Ast	JR
54	230	Marcus Melvin	Fayetteville, NC	F	80	marcus-melvin-1	14.3 Pts, 8.1 Reb, 1.9 Ast	SR
3	222	Ilian Evtimov	Winston-Salem, NC	F	79	ilian-evtimov-1	9.8 Pts, 4.5 Reb, 3.0 Ast	SO
23	186	Scooter Sherrill	Mt. Ulla, NC	G	75	scooter-sherrill-1	10.5 Pts, 2.9 Reb, 1.0 Ast	SR
14	200	Engin Atsur		G	76	engin-atsur-1	8.5 Pts, 2.8 Reb, 2.5 Ast	FR
21	235	Levi Watkins	Rockville, MD	F	79	levi-watkins-1	6.3 Pts, 2.4 Reb, 0.7 Ast	JR
13	205	Cameron Bennerman	Greensboro, NC	G	76	cameron-bennerman-1	3.4 Pts, 1.9 Reb, 0.8 Ast	SO
4	180	Mike O'Donnell	Largo, FL	G	72	mike-odonnell-2	2.4 Pts, 0.7 Reb, 1.1 Ast	FR
32	242	Jordan Collins	Hyattsville, MD	C	82	jordan-collins-1	3.0 Pts, 2.1 Reb, 0.6 Ast	JR
41	248	Adam Simons	Burlington, NC	C	84	adam-simons-1	1.5 Pts, 1.3 Reb, 0.2 Ast	FR
4	201	Will Roach	Raleigh, NC	F	77	will-roach-1	0.5 Pts, 0.1 Reb, 0.2 Ast	JR
23	200	Dominick Mejia	Voorhees, NJ	G	76	dominick-mejia-1	0.5 Pts, 0.5 Reb, 0.0 Ast	SO
5	180	Chris McCoy	Louisville, KY	F	77	chris-mccoy-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
