number	weight	playerName	hometown	pos	height	playerId	summary	class
5	175	J.J. Barea		G	72	jose-barea-1	20.7 Pts, 3.6 Reb, 5.8 Ast	SO
3	215	Marcus Barnes	Miami, FL	G	74	marcus-barnes-1	17.0 Pts, 3.0 Reb, 2.0 Ast	JR
4	200	Javorie Wilson	Miami, FL	F	77	javorie-wilson-1	13.1 Pts, 4.7 Reb, 1.9 Ast	SR
33	218	Sylbrin Robinson	Miami, FL	F	80	sylbrin-robinson-1	8.8 Pts, 8.5 Reb, 1.2 Ast	SR
14	220	Bennet Davis		F	81	bennet-davis-1	7.0 Pts, 4.8 Reb, 0.6 Ast	FR
30	235	Cornellius Wright	Miami, FL	C	78	cornellius-wright-1	4.1 Pts, 3.0 Reb, 0.4 Ast	SR
32	220	Jesse Dunn	West Bolton, VT	F	80	jesse-dunn-1	3.6 Pts, 2.5 Reb, 0.2 Ast	SR
2	195	D'Wan Youmans	Jacksonville, FL			dwan-youmans-1	3.2 Pts, 2.4 Reb, 0.9 Ast	FR
22	200	Bobby Kelly	Dedham, MA	G	75	bobby-kelly-1	2.6 Pts, 1.5 Reb, 0.6 Ast	FR
21	200	Adam Drain	Missouri City, TX	G	75	adam-drain-1	2.5 Pts, 1.6 Reb, 0.9 Ast	SR
42	160	Lateef Melvin	Washington, DC	G	70	lateef-melvin-1	1.0 Pts, 0.9 Reb, 1.2 Ast	SR
52	255	Gene Oliynyk		C	82	gene-oliynyk-1	0.8 Pts, 0.6 Reb, 0.4 Ast	SO
1	160	Dipo Popoola	Marietta, GA	G	70	dipo-popoola-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
