number	weight	playerName	hometown	pos	height	playerId	summary	class
12	205	Ben Jacobson	Sioux City, IA	G	75	ben-jacobson-3	14.0 Pts, 4.0 Reb, 2.4 Ast	SO
42	230	David Gruber	Solon, IA	C	78	david-gruber-1	12.1 Pts, 6.9 Reb, 1.0 Ast	SR
43	245	Matt Schneiderman	Marshalltown, IA	F	79	matt-schneiderman-1	11.0 Pts, 6.4 Reb, 1.1 Ast	SR
5	215	Erik Crawford	Oakdale, MN	F	76	erik-crawford-2	10.4 Pts, 5.2 Reb, 2.7 Ast	SO
23	195	Brooks McKowen	Fairbank, IA	G	74	brooks-mckowen-1	7.5 Pts, 2.0 Reb, 2.7 Ast	FR
21	195	Chris Foster	Ironton, MO	G	70	chris-foster-2	8.2 Pts, 1.1 Reb, 2.7 Ast	JR
32	240	Grant Stout	New Sharon, IA	F	80	grant-stout-1	2.9 Pts, 3.3 Reb, 0.3 Ast	FR
22	170	Pete Schmit	St. Charles, IL	G	71	pete-schmit-1	2.6 Pts, 0.7 Reb, 0.8 Ast	JR
11	195	John Little	Peoria, IL	G	72	john-little-1	1.6 Pts, 1.2 Reb, 0.2 Ast	SO
33	260	Jon Godfread	Grand Forks, ND	C	82	jon-godfread-1	0.6 Pts, 0.5 Reb, 0.0 Ast	JR
2	205	Matt Bennett	Woodbury, MN	F	76	matt-bennett-1	0.3 Pts, 0.5 Reb, 0.0 Ast	JR
1	163	Keyonn Tutt	Louisville, KY	G	66	keyonn-tutt-1	0.7 Pts, 0.0 Reb, 0.0 Ast	JR
44	210	Adam Salow	Manchester, IA	F	81	adam-salow-1	0.0 Pts, 0.5 Reb, 0.5 Ast	SO
