number	weight	playerName	hometown	pos	height	playerId	summary	class
25	190	Jitim Young	Chicago, IL	G	74	jitim-young-1	17.9 Pts, 6.0 Reb, 2.1 Ast	SR
11	245	Vedran Vukusic		F	80	vedran-vukusic-1	14.3 Pts, 4.3 Reb, 2.9 Ast	JR
1	165	T.J. Parker	Lisle, IL	G	74	tj-parker-1	8.8 Pts, 2.8 Reb, 4.0 Ast	SO
14	200	Mohamed Hachad		G	77	mohamed-hachad-1	8.3 Pts, 3.7 Reb, 2.3 Ast	SO
31	220	Davor Duvancic		F	80	davor-duvancic-1	6.3 Pts, 2.8 Reb, 2.2 Ast	JR
24	180	Evan Seacat	Paoli, IN	G	74	evan-seacat-1	5.7 Pts, 1.4 Reb, 0.9 Ast	SO
52	230	Vince Scott	Phoenix, AZ	C	82	vince-scott-1	1.6 Pts, 1.1 Reb, 0.4 Ast	FR
42	285	Ivan Tolic		C	81	ivan-tolic-1	0.7 Pts, 1.5 Reb, 0.7 Ast	SO
5	180	Michael Jenkins	Pasadena, CA	G	69	michael-jenkins-1	0.2 Pts, 0.4 Reb, 0.1 Ast	JR
34	190	Josh Grier	Orlando, FL	G	73	josh-grier-2	0.1 Pts, 0.1 Reb, 0.1 Ast	SO
2	195	Joe Kennedy	Glenview, IL	G	70	joe-kennedy-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
