number	weight	playerName	hometown	pos	height	playerId	summary	class
24	153	Drew Lavender	Columbus, OH	G	67	drew-lavender-1	11.3 Pts, 2.4 Reb, 3.9 Ast	FR
5	215	Jason Detrick	Newport News, VA	G	78	jason-detrick-1	11.4 Pts, 2.9 Reb, 1.3 Ast	SR
15	220	De'Angelo Alexander	Midwest City, OK	G	77	deangelo-alexander-1	9.6 Pts, 4.8 Reb, 1.3 Ast	SO
1	180	Lawrence McKenzie	Minneapolis, MN	G	74	lawrence-mckenzie-1	8.2 Pts, 2.3 Reb, 1.2 Ast	FR
2	181	Jaison Williams	Aurora, CO	G	75	jaison-williams-2	5.8 Pts, 2.8 Reb, 1.5 Ast	JR
21	220	Jabahri Brown		C	82	jabahri-brown-2	7.1 Pts, 5.1 Reb, 1.6 Ast	SR
32	228	Johnnie Gilbert	Minneapolis, MN	F	80	johnnie-gilbert-1	5.3 Pts, 4.0 Reb, 0.6 Ast	JR
1	225	Brandon Foust	Columbus, OH	F	78	brandon-foust-1	4.1 Pts, 2.8 Reb, 0.4 Ast	FR
34	270	Kevin Bookout	Stroud, OK	F	80	kevin-bookout-1	7.6 Pts, 5.5 Reb, 0.5 Ast	SO
44	240	Larry Turner	Milledgeville, GA	C	83	larry-turner-1	3.2 Pts, 2.7 Reb, 0.4 Ast	FR
11	190	Jimmy Tobias	Fort Lauderdale, FL	G	76	jimmy-tobias-1	2.0 Pts, 1.2 Reb, 0.5 Ast	FR
