number	weight	playerName	hometown	pos	height	playerId	summary	class
3	170	Keydren Clark	New York, NY	G	69	keydren-clark-1	26.7 Pts, 4.3 Reb, 4.3 Ast	SO
5	195	Shane Nichols	Radford, VA	G	72	shane-nichols-1	10.6 Pts, 1.9 Reb, 1.3 Ast	FR
13	214	Ron Yates	Jamaica, NY	F	78	ron-yates-1	9.8 Pts, 5.4 Reb, 1.5 Ast	JR
4	210	Jamie Sowers	Newark, NJ	F	79	jamie-sowers-1	10.3 Pts, 6.4 Reb, 1.7 Ast	JR
1	185	Terrance Watkins	Queens, NY	G	76	terrance-watkins-1	7.3 Pts, 3.3 Reb, 1.5 Ast	JR
10	182	Corey Hinnant	Bay Shore, NY	G	72	corey-hinnant-1	4.7 Pts, 1.1 Reb, 1.0 Ast	JR
40	185	Regis Devonish	Houston, TX	G	77	regis-devonish-1	4.1 Pts, 1.9 Reb, 0.9 Ast	SR
24	220	Rafael Martinez		F	76	rafael-martinez-1	2.5 Pts, 2.2 Reb, 0.2 Ast	SR
35	258	Ivan Bozovic		C	82	ivan-bozovic-1	2.5 Pts, 3.0 Reb, 0.6 Ast	JR
31	270	Mark Curry	East Orange, NJ	F	77	mark-curry-2	1.8 Pts, 2.6 Reb, 0.6 Ast	JR
	245	Amir Ali		C	83	amir-ali-1	1.4 Pts, 2.7 Reb, 0.2 Ast	SR
41	225	Kinzey Reeves	Fairbanks, AK	C	83	kinzey-reeves-1	0.9 Pts, 0.5 Reb, 0.0 Ast	FR
12	172	Derrick Hooker	Newark, NJ	G	70	derrick-hooker-1	0.0 Pts, 0.1 Reb, 0.2 Ast	JR
23	230	George Jefferson	Brooklyn, NY	G	76	george-jefferson-1	0.0 Pts, 0.3 Reb, 0.0 Ast	SO
