number	weight	playerName	hometown	pos	height	playerId	summary	class
30	215	Eric Walton	Pensacola, FL	C	80	eric-walton-1	11.8 Pts, 6.5 Reb, 0.6 Ast	SR
35	220	Marquin Chandler	Fremont, CA	F	79	marquin-chandler-2	9.8 Pts, 4.1 Reb, 0.6 Ast	JR
23	205	Brett Lilly	McIntire, IA	F	78	brett-lilly-1	9.4 Pts, 1.8 Reb, 0.9 Ast	SR
40	230	Demetrius Brown	Anniston, AL	F	78	demetrius-brown-1	7.5 Pts, 4.0 Reb, 1.1 Ast	JR
32	205	Michael McFadden	Richmond, CA	G	77	michael-mcfadden-1	7.0 Pts, 2.1 Reb, 1.7 Ast	JR
33	212	Phil Calvert	Milwaukee, WI	G	75	phil-calvert-1	6.0 Pts, 1.9 Reb, 1.2 Ast	SR
11	189	Bim Okunrinboye	Sonora, CA	G	72	bim-okunrinboye-1	4.6 Pts, 3.2 Reb, 2.8 Ast	SR
22	182	Kareem Guilbeaux	San Francisco, CA	G	75	kareem-guilbeaux-1	3.9 Pts, 2.6 Reb, 2.0 Ast	JR
20	165	Kyle Wilson		G	72	kyle-wilson-2	3.4 Pts, 1.1 Reb, 1.5 Ast	SO
45	230	Aaron Watson	Washington, DC	F	78	aaron-watson-1	6.4 Pts, 2.8 Reb, 0.0 Ast	JR
5	180	Maurice Moore	Seaside, CA	G	74	maurice-moore-1	1.5 Pts, 0.5 Reb, 1.9 Ast	SR
42	220	Keith Everage	Los Angeles, CA	F	78	keith-everage-1	4.2 Pts, 2.8 Reb, 0.5 Ast	SO
44	220	Lance Holloway	Oakland, CA	F	80	lance-holloway-1	0.7 Pts, 0.9 Reb, 0.1 Ast	FR
		Ryan Miller		G	70	ryan-miller-2	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
