number	weight	playerName	hometown	pos	height	playerId	summary	class
33	210	David Palmer	Robbins, CA	F	79	david-palmer-3	15.4 Pts, 3.6 Reb, 1.3 Ast	SR
12	185	Jason Baker	South Jordan, UT	G	74	jason-baker-1	10.7 Pts, 1.9 Reb, 2.5 Ast	JR
24	220	DeAngelo Newsom	Memphis, TN	F	77	deangelo-newsom-1	10.4 Pts, 6.9 Reb, 1.4 Ast	JR
2	187	Tim Gainey	Colorado Springs, CO	G	78	tim-gainey-1	8.1 Pts, 3.4 Reb, 1.2 Ast	JR
40	225	Robbie Warren	Springville, UT	C	80	robbie-warren-1	8.4 Pts, 3.1 Reb, 0.4 Ast	SR
5	205	Dallas Rensch	Mesa, AZ	G	75	dallas-rensch-1	4.9 Pts, 1.6 Reb, 2.9 Ast	FR
30	195	Rand Janes	Cedar City, UT	F	74	rand-janes-1	4.1 Pts, 2.8 Reb, 1.7 Ast	SO
55	260	Vaughn Schouten	Orem, UT	C	81	vaughn-schouten-1	3.2 Pts, 2.0 Reb, 0.4 Ast	SO
1	215	Lubor Olsovsky		C	81	lubor-olsovsky-1	2.2 Pts, 1.4 Reb, 0.3 Ast	SO
3	185	Jeff Martini	Sheridan, WY	G	74	jeff-martini-1	1.2 Pts, 0.5 Reb, 0.2 Ast	JR
20	180	Ben Luce	Ferron, UT	G	72	ben-luce-1	0.4 Pts, 0.1 Reb, 0.0 Ast	SO
4	185	Khalil Sikander	Brooklyn, NY	G	70	khalil-sikander-1	0.3 Pts, 0.5 Reb, 0.2 Ast	SR
25	185	Drew Alder	Trout Creek, UT	F	76	drew-alder-1	0.1 Pts, 0.0 Reb, 0.0 Ast	SO
