number	weight	playerName	hometown	pos	height	playerId	summary	class
34	215	Willie Jenkins	Memphis, TN	F	78	willie-jenkins-1	19.5 Pts, 7.2 Reb, 2.0 Ast	JR
23	190	Cameron Crisp	Bolivar, TN	G	78	cameron-crisp-1	15.4 Pts, 2.8 Reb, 2.3 Ast	SR
22	195	Milone Clark		G	76	milone-clark-1	10.9 Pts, 4.8 Reb, 1.2 Ast	SO
24	195	Keyon Boyd	Marietta, GA	G	77	keyon-boyd-1	9.1 Pts, 4.1 Reb, 2.6 Ast	SO
31	180	Will Moore	Atlanta, GA	G	72	will-moore-1	7.0 Pts, 3.9 Reb, 4.8 Ast	SR
3	215	Ben Jacobson	Omaha, NE	F	79	ben-jacobson-2	5.6 Pts, 4.2 Reb, 0.7 Ast	JR
4	180	Leigh Gayden	Atlanta, GA	G	70	leigh-gayden-1	6.0 Pts, 1.5 Reb, 1.0 Ast	SR
42	220	Jonathan Jones	Trinton Falls, NJ	F	79	jonathan-jones-1	2.0 Pts, 2.9 Reb, 0.5 Ast	FR
13	240	Rusty Strange	Knoxville, TN	C	81	rusty-strange-1	2.3 Pts, 2.4 Reb, 0.5 Ast	SR
32	210	Antjuan Koger	LaVergne, TN	F	77	antjuan-koger-1	1.8 Pts, 0.8 Reb, 0.1 Ast	FR
2	200	Darrius Mohn	Memphis, TN			darrius-mohn-1	0.1 Pts, 0.4 Reb, 0.1 Ast	FR
