number	weight	playerName	hometown	pos	height	playerId	summary	class
2	205	Scooter McFadgon		G	77	scooter-mcfadgon-1	17.6 Pts, 4.4 Reb, 2.0 Ast	JR
4	250	Brandon Crump	Klein, TX	F	82	brandon-crump-1	14.8 Pts, 6.8 Reb, 1.2 Ast	JR
32	180	C.J. Watson	Las Vegas, NV	G	74	cj-watson-1	11.5 Pts, 4.2 Reb, 5.0 Ast	SO
33	220	Jemere Hendrix	Covington, GA	F	80	jemere-hendrix-2	6.8 Pts, 6.2 Reb, 0.4 Ast	SO
5	175	John Winchester	Stamford, CT	G	76	john-winchester-1	5.4 Pts, 2.0 Reb, 1.6 Ast	SO
3	215	Stanley Asumnu	Houston, TX	G	77	stanley-asumnu-1	5.2 Pts, 2.4 Reb, 1.4 Ast	SO
1	250	Major Wingate	Florence, SC	C	82	major-wingate-1	3.6 Pts, 2.5 Reb, 0.6 Ast	FR
23	205	Dane Bradshaw	Memphis, TN	G	76	dane-bradshaw-1	3.4 Pts, 2.1 Reb, 1.7 Ast	FR
43	215	Justin Albrecht	Omaha, NE	F	78	justin-albrecht-1	1.8 Pts, 1.9 Reb, 0.9 Ast	JR
32	255	Boomer Herndon	Nashville, TN	C	83	boomer-herndon-1	1.6 Pts, 1.8 Reb, 0.2 Ast	SO
31	217	Fred Smithwick	Memphis, TN	F	79	fred-smithwick-1	0.8 Pts, 0.2 Reb, 0.2 Ast	JR
12	150	Pee-Wee Gash	Asheville, NC	G	67	pee-wee-gash-1	0.3 Pts, 0.0 Reb, 0.3 Ast	SO
42	190	Lou Wright	Memphis, TN	G	77	lou-wright-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
