number	weight	playerName	hometown	pos	height	playerId	summary	class
23	215	Terry Conerway	Cleburne, TX	G	75	terry-conerway-1	13.6 Pts, 4.6 Reb, 2.8 Ast	SR
15	180	Josh Naylor	Rockwall, TX	G	72	josh-naylor-1	11.3 Pts, 2.4 Reb, 2.8 Ast	JR
2	190	Roosevelt Brown	Duncanville, TX	G	75	roosevelt-brown-2	10.0 Pts, 2.6 Reb, 2.5 Ast	SR
25	235	Anthony Dill	Richardson, TX	F	79	anthony-dill-1	8.2 Pts, 4.7 Reb, 1.1 Ast	JR
4	230	Zach Allison	Carthage, TX	F	77	zach-allison-1	8.1 Pts, 4.4 Reb, 0.7 Ast	JR
10	205	Nick Ponder	Tulsa, OK	G	77	nick-ponder-1	7.0 Pts, 2.9 Reb, 1.3 Ast	JR
30	220	Nick Goellner	Rockwall, TX	C	83	nick-goellner-1	3.7 Pts, 2.5 Reb, 0.4 Ast	SO
11	200	Lance Burroughs	South Lake, TX	G	76	lance-burroughs-1	2.2 Pts, 2.5 Reb, 1.2 Ast	SO
23	225	Evan Patterson	Cedar Hill, TX	F	78	evan-patterson-1	2.0 Pts, 1.9 Reb, 0.6 Ast	SO
33	225	Josh Goellner	Rockwall, TX	C	82	josh-goellner-1	1.8 Pts, 2.3 Reb, 0.4 Ast	SR
13	175	Antwoine Blanchard	Little Rock, AK	G	72	antwoine-blanchard-1	1.8 Pts, 0.9 Reb, 0.9 Ast	SO
24	195	Coy Pfeiffer	Bandera, TX			coy-pfeiffer-1	0.7 Pts, 0.3 Reb, 0.0 Ast	FR
3	180	Brad Brickens	Austin, TX	G	76	brad-brickens-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
