number	weight	playerName	hometown	pos	height	playerId	summary	class
15	195	Cardell Butler	San Francisco, CA	G	76	cardell-butler-1	14.0 Pts, 3.0 Reb, 2.0 Ast	SR
4	225	Nate Harris	Smithfield, UT	F	79	nate-harris-1	11.7 Pts, 6.1 Reb, 1.7 Ast	SO
32	225	Spencer Nelson		F	80	spencer-nelson-1	11.5 Pts, 7.8 Reb, 2.8 Ast	JR
20	150	Mark Brown	Tucson, AZ	G	70	mark-brown-1	9.6 Pts, 2.4 Reb, 4.9 Ast	SR
42	240	Mike Ahmad	Glendora, CA	C	81	mike-ahmad-1	6.7 Pts, 4.0 Reb, 0.3 Ast	SR
30	198	Jason Williams	Vallejo, CA	F	79	jason-williams-5	6.7 Pts, 2.2 Reb, 0.7 Ast	JR
23	190	Chris Huber	Garland, UT	G	73	chris-huber-1	3.9 Pts, 1.1 Reb, 1.8 Ast	SO
25	210	John Neil	Los Altos, CA	F	78	john-neil-1	2.6 Pts, 1.3 Reb, 0.6 Ast	JR
3	185	Quenton Harvey	Compton, CA	G	74	quenton-harvey-1	1.8 Pts, 0.8 Reb, 0.6 Ast	JR
31	225	Ian McVey	Princeton, MN	C	81	ian-mcvey-1	1.8 Pts, 1.7 Reb, 0.1 Ast	JR
44	210	Chad Evans	Ogden, UT	F	79	chad-evans-1	1.3 Pts, 1.2 Reb, 0.1 Ast	SR
24	200	Tyler Williams	Santa Cruz, CA	G	73	tyler-williams-1	1.0 Pts, 0.0 Reb, 0.0 Ast	JR
21	165	Calvin Brown	East Palo Alto, CA	G	70	calvin-brown-3	0.4 Pts, 0.1 Reb, 0.8 Ast	JR
