number	weight	playerName	hometown	pos	height	playerId	summary	class
15	206	Nick Jacobson	Fargo, ND	G	76	nick-jacobson-1	16.5 Pts, 2.2 Reb, 1.3 Ast	SR
4	245	Andrew Bogut		F	84	andrew-bogut-1	12.5 Pts, 9.9 Reb, 2.2 Ast	FR
42	205	Richard Chaney	Los Angeles, CA	G	76	richard-chaney-2	9.5 Pts, 4.2 Reb, 1.0 Ast	SO
54	244	Tim Frost	Klamath Falls, OR	C	82	tim-frost-2	9.0 Pts, 4.6 Reb, 1.4 Ast	SR
11	215	Tim Drisdom	Artesia, CA	G	75	tim-drisdom-1	6.1 Pts, 3.7 Reb, 3.6 Ast	SO
1	204	Justin Hawkins	Anaheim, CA	G	77	justin-hawkins-1	5.3 Pts, 3.2 Reb, 0.9 Ast	FR
11	182	Josh Olsen	Sandy, UT	G	72	josh-olsen-1	2.4 Pts, 1.0 Reb, 1.6 Ast	FR
20	198	Bryant Markson	Monrovia, CA	F	79	bryant-markson-1	2.2 Pts, 1.7 Reb, 0.6 Ast	SO
30	245	Chris Jackson	Los Alamos, NM	C	83	chris-jackson-3	3.4 Pts, 2.6 Reb, 0.2 Ast	SO
51	236	Jonas Langvad		F	83	jonas-langvad-1	1.4 Pts, 1.6 Reb, 0.9 Ast	FR
14	175	Mike Mesdaghi	Roy, UT	G	70	mike-mesdaghi-1	0.5 Pts, 0.5 Reb, 0.2 Ast	FR
