number	weight	playerName	hometown	pos	height	playerId	summary	class
22	250	Taylor Coppenrath	West Barnet, VT	F	81	taylor-coppenrath-1	24.1 Pts, 7.2 Reb, 1.4 Ast	JR
11	185	T.J. Sorrentine	Pawrucket, RI	G	71	tj-sorrentine-1	14.8 Pts, 2.8 Reb, 4.6 Ast	JR
32	200	Germain Mopa Njila		F	76	germain-mopa-njila-1	6.2 Pts, 6.2 Reb, 1.4 Ast	JR
43	225	Scotty Jones	Katy, TX	C	81	scotty-jones-2	5.9 Pts, 6.3 Reb, 1.1 Ast	SR
24	200	David Hehn		G	77	david-hehn-1	5.3 Pts, 3.7 Reb, 2.6 Ast	JR
35	175	Alex Jensen	Mystic, CT	G	74	alex-jensen-3	5.2 Pts, 1.9 Reb, 1.4 Ast	JR
40	200	Corey Sullivan	Springboro, OH	G	79	corey-sullivan-1	4.1 Pts, 1.6 Reb, 0.4 Ast	SR
20	240	Martin Klimes		F	80	martin-klimes-1	3.3 Pts, 3.6 Reb, 0.9 Ast	FR
34	210	Matt Hanson	Plymouth, MN	F	79	matt-hanson-1	3.2 Pts, 1.8 Reb, 0.7 Ast	FR
52	260	Matt Sheftic	Essex Junction, VT	C	80	matt-sheftic-1	2.4 Pts, 2.4 Reb, 0.4 Ast	SR
21	205	Mike Goia	Branchburg, NJ	G	76	mike-goia-1	0.4 Pts, 0.4 Reb, 0.6 Ast	JR
12	185	Jack Phelan	West Hartford, CT	G	75	jack-phelan-1	0.3 Pts, 0.3 Reb, 0.4 Ast	SR
