number	weight	playerName	hometown	pos	height	playerId	summary	class
1	208	Marcus Moore	Inglewood, CA	G	72	marcus-moore-2	13.5 Pts, 3.1 Reb, 3.7 Ast	SR
11	194	Thomas Kelati	Walla Walla, WA	G	77	thomas-kelati-1	11.1 Pts, 2.9 Reb, 2.2 Ast	JR
45	240	Jeff Varem		G	78	jeff-varem-1	9.6 Pts, 4.2 Reb, 1.9 Ast	JR
22	225	Shami Gill		F	79	shami-gill-1	5.9 Pts, 5.3 Reb, 0.7 Ast	JR
12	190	Randy Green	Renton, WA	G	76	randy-green-1	4.9 Pts, 1.3 Reb, 0.4 Ast	SO
32	253	Ezenwa Ukeagu	Coral Springs, FL	C	80	ezenwa-ukeagu-1	5.4 Pts, 3.7 Reb, 0.2 Ast	SR
5	216	Chris Schlatter	Concord, CA	F	79	chris-schlatter-1	4.6 Pts, 3.8 Reb, 1.2 Ast	JR
21	185	Anthony Grant	Seattle, WA	G	77	anthony-grant-1	2.1 Pts, 1.1 Reb, 0.5 Ast	SO
55	240	Justin Bellegarde	Ukiah, CA	F	81	justin-bellegarde-1	2.1 Pts, 1.5 Reb, 0.1 Ast	SR
25	221	Isaiah Simmons	Tacoma, WA	F	75	isaiah-simmons-1	2.1 Pts, 1.3 Reb, 0.8 Ast	JR
3	210	Lance Den	Sunnyside, WA	G	78	lance-den-1	1.7 Pts, 0.8 Reb, 0.1 Ast	FR
2	185	T.J. Paterick	Ponte Verda Beach, FL	G	73	tj-paterick-1	2.3 Pts, 0.7 Reb, 1.3 Ast	FR
44	245	Justin Garcia	Mira Loma, CA	C	85	justin-garcia-1	0.6 Pts, 0.6 Reb, 0.0 Ast	JR
2	175	Terry Ayers	Pearl City, HI	G	72	terry-ayers-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
33	240	Cody Boyd	Bellingham, WA			cody-boyd-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
		Lance den Boer				lance-den-boer-1		
