number	weight	playerName	hometown	pos	height	playerId	summary	class
1	180	Donell Taylor		G	78	donell-taylor-1	15.5 Pts, 4.4 Reb, 3.0 Ast	SR
23	190	Demario Eddins	Chicago, IL	F	79	demario-eddins-1	12.5 Pts, 4.8 Reb, 1.7 Ast	JR
5	170	Marvett McDonald	Memphis, TN	G	74	marvett-mcdonald-1	10.8 Pts, 2.6 Reb, 2.0 Ast	JR
2	180	Ronell Taylor	Montgomery, AL	G	77	ronell-taylor-1	11.0 Pts, 3.6 Reb, 1.7 Ast	SR
3	280	Marques Lewis	Milwaukee, WI	F	80	marques-lewis-1	8.3 Pts, 4.6 Reb, 0.7 Ast	SR
0	180	Carldell Johnson	New Orleans, LA	G	70	carldell-johnson-1	5.0 Pts, 2.0 Reb, 4.6 Ast	JR
31	210	Richard Jones	Oklahoma City, OK	G	77	richard-jones-2	4.2 Pts, 1.4 Reb, 0.8 Ast	JR
42	200	Derrick Broom	Cartersville, GA	G	77	derrick-broom-1	3.5 Pts, 1.0 Reb, 0.5 Ast	JR
25	230	Ernest Little	Monroe, AL	F	81	ernest-little-1	3.4 Pts, 2.4 Reb, 0.1 Ast	SO
4	200	Paul Delaney	Decatur, GA	G	74	paul-delaney-1	3.1 Pts, 1.3 Reb, 0.8 Ast	FR
44	220	Brandon Tobias	Fort Lauderdale, FL	F	79	brandon-tobias-1	2.4 Pts, 1.7 Reb, 0.3 Ast	JR
15	225	Frank Holmes	Somerville, TN	F	81	frank-holmes-1	1.5 Pts, 1.5 Reb, 0.2 Ast	FR
12	180	Reed Davis	Birmingham, AL	G	73	reed-davis-1	0.1 Pts, 0.0 Reb, 0.1 Ast	JR
