number	weight	playerName	hometown	pos	height	playerId	summary	class
31	185	Jamar Wilson	Bronx, NY	G	73	jamar-wilson-1	16.9 Pts, 3.1 Reb, 4.1 Ast	SO
4	207	Lucious Jordan	Albany, NY	G	74	lucious-jordan-1	14.8 Pts, 4.9 Reb, 2.3 Ast	JR
11	220	Levi Levine	New York, NY	F	78	levi-levine-1	10.4 Pts, 6.0 Reb, 3.0 Ast	JR
34	240	Brent Wilson	Cedar Rapids, IA	F	80	brent-wilson-1	7.0 Pts, 4.2 Reb, 0.6 Ast	FR
12	280	Kirsten Zoellner		C	85	kirsten-zoellner-1	6.6 Pts, 5.2 Reb, 0.8 Ast	JR
44	190	Aquawasi St. Hillaire	Brooklyn, NY	F	78	aquawasi-st-hillaire-1	4.8 Pts, 3.3 Reb, 0.6 Ast	SR
21	225	Brian Lillis	Urbandale, IA	G	77	brian-lillis-1	4.0 Pts, 2.4 Reb, 1.2 Ast	FR
14	175	Jon Iati	York, PA	G	69	jon-iati-1	11.0 Pts, 2.0 Reb, 2.2 Ast	SO
21	220	Chris Wyatt	Horsham, PA	F	78	chris-wyatt-1	1.7 Pts, 1.3 Reb, 0.2 Ast	SR
2	200	Courtney Johnson	Far Rockaway, NY	G	72	courtney-johnson-1	1.0 Pts, 0.6 Reb, 0.4 Ast	SO
23	245	Jerrad Knotts	Colton, CA	F	78	jerrad-knotts-1	0.6 Pts, 0.2 Reb, 0.0 Ast	JR
5	0	Kenny Maccalla	Middletown, NY	G	74	kenny-maccalla-1	0.6 Pts, 0.6 Reb, 0.0 Ast	JR
3	173	David Bauman	Sarver, PA	G	74	david-bauman-1	0.3 Pts, 0.1 Reb, 0.2 Ast	FR
1	187	Brandon Perry	Carrollton, TX	G	74	brandon-perry-1	1.0 Pts, 0.7 Reb, 0.0 Ast	JR
55	240	Joe Dyson	Wilmington, DE	C	81	joe-dyson-1	0.7 Pts, 1.0 Reb, 0.0 Ast	FR
