number	weight	playerName	hometown	pos	height	playerId	summary	class
12	190	Peyton Stovall	Lafayette, IN	G	73	peyton-stovall-1	16.7 Pts, 3.7 Reb, 3.5 Ast	SO
40	210	Terrance Chapman	Joliet, IL	F	78	terrance-chapman-1	14.1 Pts, 9.4 Reb, 1.5 Ast	SR
30	190	Dennis Trammell	Chicago, IL	G	75	dennis-trammell-1	15.9 Pts, 3.5 Reb, 1.7 Ast	SR
24	205	Julien Mills	Indianapolis, IN	F	75	julien-mills-1	11.9 Pts, 5.0 Reb, 1.7 Ast	SO
54	208	Darren Yates	Indianapolis, IN	G	74	darren-yates-1	3.9 Pts, 1.8 Reb, 1.1 Ast	SO
5	205	Michael Bennett	Indianapolis, IN	G	77	michael-bennett-1	3.6 Pts, 2.9 Reb, 0.8 Ast	SR
3	205	Matt McCollom	Mt. Zion, IL	G	74	matt-mccollom-1	2.8 Pts, 1.5 Reb, 0.8 Ast	SR
32	215	Anthony Kent	Columbus, OH	C	83	anthony-kent-1	2.7 Pts, 2.3 Reb, 0.5 Ast	JR
44	230	Tom Howland	Normal, IL	C	82	tom-howland-1	2.3 Pts, 2.5 Reb, 0.2 Ast	JR
11	165	Jesse McClung	Indianapolis, IN	G	73	jesse-mcclung-1	1.4 Pts, 0.8 Reb, 0.6 Ast	JR
