number	weight	playerName	hometown	pos	height	playerId	summary	class
40	165	Jason Forte	Rockville, MD	G	72	jason-forte-1	18.4 Pts, 4.0 Reb, 4.2 Ast	SR
15	225	Luke Ruscoe		F	79	luke-ruscoe-1	10.2 Pts, 5.6 Reb, 2.2 Ast	JR
20	185	Damon Huffman	Petoskey, MI	G	74	damon-huffman-1	8.4 Pts, 2.5 Reb, 2.0 Ast	FR
35	235	Mark MacDonald	Lexington, MA	F	80	mark-macdonald-1	5.6 Pts, 2.1 Reb, 0.8 Ast	FR
50	230	PJ Flaherty	Merrimack, NH	F	81	pj-flaherty-1	4.9 Pts, 3.1 Reb, 0.7 Ast	SO
24	195	Marcus Becker	Martinsville, VA	G	74	marcus-becker-1	4.8 Pts, 2.8 Reb, 2.2 Ast	SO
14	190	Mark McAndrew	Barrington, RI	G	75	mark-mcandrew-1	4.0 Pts, 2.4 Reb, 0.7 Ast	FR
4	215	Keenan Jeppson		G	79	keenan-jeppson-1	4.0 Pts, 2.2 Reb, 0.4 Ast	FR
55	250	Sam Manhanga		F	78	sam-manhanga-1	4.6 Pts, 2.0 Reb, 0.1 Ast	SO
1	205	Adolphe Coulibaly		G	78	adolphe-coulibaly-1	2.4 Pts, 1.5 Reb, 0.5 Ast	FR
10	185	James Daniels	Oceanside, CA	G	75	james-daniels-1	2.2 Pts, 1.1 Reb, 0.2 Ast	FR
32	235	Nathan Eads	Ellicott City, MD	F	80	nathan-eads-1	1.8 Pts, 1.2 Reb, 0.2 Ast	SO
33	190	Eric Nordrum	Lucasville, OH	F	80	eric-nordrum-1	1.6 Pts, 0.9 Reb, 0.2 Ast	FR
34	175	Kyle Nordrum	Lucasville, OH			kyle-nordrum-1	2.0 Pts, 0.0 Reb, 0.0 Ast	FR
