number	weight	playerName	hometown	pos	height	playerId	summary	class
20	205	Brandon Polk	Wichita, KS	F	78	brandon-polk-1	13.6 Pts, 4.6 Reb, 1.0 Ast	JR
4	160	A.J. Graves	Switz City, IN	G	73	aj-graves-1	11.1 Pts, 2.2 Reb, 2.8 Ast	FR
3	195	Bruce Horan	New Castle, IN	G	75	bruce-horan-1	9.8 Pts, 2.9 Reb, 0.9 Ast	JR
21	175	Avery Sheets	Lafayette, IN	G	72	avery-sheets-1	9.7 Pts, 2.0 Reb, 4.0 Ast	JR
33	225	Brandon Crone	Frankfort, IN	F	78	brandon-crone-1	7.3 Pts, 4.5 Reb, 1.3 Ast	SO
44	220	Nick Brooks	Robinson, IL	F	77	nick-brooks-1	5.7 Pts, 2.8 Reb, 0.5 Ast	SO
43	265	Jamie Smalligan	East Grand Rapids, MI	C	84	jamie-smalligan-1	5.2 Pts, 3.1 Reb, 0.5 Ast	SO
24	175	Gary Patterson	East Chicago, IN	G	70	gary-patterson-1	2.2 Pts, 0.6 Reb, 0.6 Ast	FR
24	240	Brian Ligon	St. Petersburg, FL	C	79	brian-ligon-1	1.9 Pts, 2.1 Reb, 0.2 Ast	SO
32	205	Drew Streicher	Washington, IN	G	79	drew-streicher-1	0.6 Pts, 0.6 Reb, 0.4 Ast	SO
31	240	Andy Grunst	Milwaukee, WI	F	80	andy-grunst-1	0.4 Pts, 0.6 Reb, 0.0 Ast	JR
