number	weight	playerName	hometown	pos	height	playerId	summary	class
3	245	Curtis Withers	Charlotte, NC	F	80	curtis-withers-1	18.0 Pts, 8.1 Reb, 1.8 Ast	JR
13	215	Eddie Basden		G	77	eddie-basden-1	15.2 Pts, 8.4 Reb, 3.7 Ast	SR
5	207	Brendan Plavich	Dalton, GA	G	74	brendan-plavich-1	13.7 Pts, 2.7 Reb, 1.7 Ast	SR
1	208	E.J. Drayton	Charlotte, NC	F	81	ej-drayton-1	8.7 Pts, 4.6 Reb, 1.2 Ast	JR
20	180	Mitchell Baldwin	Rural Hall, NC	G	74	mitchell-baldwin-1	7.5 Pts, 2.9 Reb, 3.8 Ast	JR
12	190	Leemire Goldwire	Palm Beach Gardens, FL	G	73	leemire-goldwire-1	6.2 Pts, 1.9 Reb, 1.3 Ast	FR
32	231	Martin Iti		C	84	martin-iti-1	5.0 Pts, 4.0 Reb, 0.5 Ast	SO
44	250	Chris Nance	Fort Lauderdale, FL	C	80	chris-nance-1	4.1 Pts, 3.3 Reb, 0.2 Ast	JR
21	180	Chris Sager	Waukesha, WI	G	76	chris-sager-1	0.6 Pts, 0.3 Reb, 0.1 Ast	SR
50	205	Travis Gordon	Richfield, NC	G	76	travis-gordon-1	0.0 Pts, 0.1 Reb, 0.0 Ast	SO
14	225	Tripp Miller	Denver, NC	F	78	tripp-miller-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
