number	weight	playerName	hometown	pos	height	playerId	summary	class
51	180	Alvin Reed	San Bernardino, CA	G	73	alvin-reed-1	12.8 Pts, 2.6 Reb, 3.2 Ast	JR
32	250	Andrew Zidar	Plantation, FL	C	80	andrew-zidar-1	12.5 Pts, 6.5 Reb, 2.4 Ast	SR
14	180	Jon Simon	Phoenix, AZ	G	72	jon-simon-1	12.3 Pts, 2.2 Reb, 1.9 Ast	SO
13	216	Kyle Roemer	Martinez, CA	F	75	kyle-roemer-1	10.0 Pts, 3.4 Reb, 1.2 Ast	FR
4	184	Keith Williams	Harlem, NY	G	76	keith-williams-3	6.0 Pts, 3.5 Reb, 0.6 Ast	SR
2	201	Alex Woodhouse	Alexandria, VA	F	80	alex-woodhouse-1	4.6 Pts, 4.6 Reb, 0.6 Ast	FR
30	218	Jon Foss	Tiskilwa, IL	F	79	jon-foss-1	3.9 Pts, 2.5 Reb, 0.8 Ast	JR
10	204	Todd Checovich	North Hampton, NH	G	76	todd-checovich-1	1.4 Pts, 1.2 Reb, 1.0 Ast	SO
22	250	Simon Knight	Berkeley, CA	C	80	simon-knight-1	1.2 Pts, 1.1 Reb, 0.2 Ast	SO
33	204	Dan Gentile	Midland Park, NJ	F	77	dan-gentile-1	4.8 Pts, 1.6 Reb, 1.0 Ast	SO
55	251	Marc Daniels	Aurora, IL	C	81	marc-daniels-1	3.7 Pts, 3.5 Reb, 1.0 Ast	JR
22	200	Tim Pounds	Dudley, NC	G	77	tim-pounds-1	0.8 Pts, 0.9 Reb, 0.3 Ast	FR
42	240	Peter Minchella	West Lafayette, IN	C	82	peter-minchella-1	0.7 Pts, 1.1 Reb, 0.3 Ast	FR
5	195	Daniel Green	Brooklyn, NY	G	75	daniel-green-1	1.0 Pts, 0.3 Reb, 0.3 Ast	JR
