number	weight	playerName	hometown	pos	height	playerId	summary	class
3	240	Charlie Villanueva		F	83	charlie-villanueva-1	13.6 Pts, 8.3 Reb, 1.3 Ast	SO
21	237	Josh Boone		C	82	josh-boone-1	12.4 Pts, 8.4 Reb, 1.2 Ast	SO
22	220	Rudy Gay	Baltimore, MD	F	81	rudy-gay-1	11.8 Pts, 5.4 Reb, 1.5 Ast	FR
33	220	Denham Brown		F	78	denham-brown-1	10.4 Pts, 4.0 Reb, 1.5 Ast	JR
5	205	Marcus Williams		G	75	marcus-williams-1	9.6 Pts, 3.8 Reb, 7.8 Ast	SO
31	215	Rashad Anderson	Lakeland, FL	G	77	rashad-anderson-1	11.9 Pts, 3.4 Reb, 1.1 Ast	JR
11	235	Hilton Armstrong		C	83	hilton-armstrong-1	3.8 Pts, 3.4 Reb, 0.6 Ast	JR
5	195	Antonio Kellogg	Oakland, CA	G	75	antonio-kellogg-1	3.2 Pts, 2.1 Reb, 2.2 Ast	FR
32	260	Ed Nelson	Fort Lauderdale, FL	F	80	ed-nelson-1	2.9 Pts, 2.2 Reb, 0.1 Ast	JR
13	215	Ryan Thompson		F	78	ryan-thompson-1	1.2 Pts, 0.9 Reb, 0.4 Ast	JR
23	214	Marcus White	Chicago, IL	F	80	marcus-white-1	3.2 Pts, 4.6 Reb, 0.2 Ast	SO
24	250	Jason Baisch	Southbury, CT	F	78	jason-baisch-1	0.7 Pts, 0.4 Reb, 0.0 Ast	SR
10	180	Sami Ameziane				sami-ameziane-1	0.0 Pts, 0.1 Reb, 0.1 Ast	FR
55	210	Nick Forostoski	Westbrook, CT			nick-forostoski-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
