number	weight	playerName	hometown	pos	height	playerId	summary	class
5	155	Tim Smith	Newport News, VA	G	69	tim-smith-1	22.2 Pts, 4.2 Reb, 4.2 Ast	JR
20	185	James Anthony	Brandon, FL	G	75	james-anthony-1	10.0 Pts, 3.5 Reb, 1.8 Ast	SR
1	245	Dillion Sneed	Chicago, IL	F	79	dillion-sneed-1	9.7 Pts, 9.5 Reb, 0.3 Ast	JR
4	195	Ben Rhoda	Dayton, OH	G	76	ben-rhoda-1	10.8 Pts, 4.7 Reb, 1.3 Ast	JR
32	210	Travis Strong	Memphis, TN	G	74	travis-strong-1	9.4 Pts, 2.0 Reb, 1.1 Ast	SO
35	220	Andrew Reed	Port Richey, FL	F	80	andrew-reed-1	5.7 Pts, 4.1 Reb, 0.6 Ast	FR
2	175	Sam Oatman	Neenah, WI	G	73	sam-oatman-1	3.7 Pts, 1.4 Reb, 1.9 Ast	SR
33	230	Chris Mitchell	Chicago, IL	F	78	chris-mitchell-1	8.3 Pts, 6.4 Reb, 0.5 Ast	JR
34	195	Aaron Scott	Houma, LA	F	78	aaron-scott-1	2.3 Pts, 2.4 Reb, 0.4 Ast	SO
51	250	Brad Nuckles	Council, VA	C	81	brad-nuckles-1	7.4 Pts, 5.6 Reb, 0.6 Ast	JR
45	205	Greg Surmacz		F	80	greg-surmacz-1	2.6 Pts, 2.0 Reb, 0.5 Ast	FR
