number	weight	playerName	hometown	pos	height	playerId	summary	class
22	210	Von Wafer		G	77	von-wafer-1	12.5 Pts, 2.5 Reb, 1.7 Ast	SO
12	220	Al Thornton	Perry, GA	G	80	al-thornton-1	9.1 Pts, 4.4 Reb, 0.7 Ast	SO
51	240	Adam Waleskowski	Kettering, OH	F	80	adam-waleskowski-1	8.4 Pts, 4.4 Reb, 0.8 Ast	SR
32	240	Alexander Johnson		C	81	alexander-johnson-1	6.8 Pts, 4.3 Reb, 0.5 Ast	SO
4	178	Todd Galloway	Baltimore, MD	G	71	todd-galloway-1	6.1 Pts, 2.0 Reb, 3.0 Ast	JR
54	205	Anthony Richardson	Raleigh, NC	F	79	anthony-richardson-1	6.4 Pts, 3.5 Reb, 0.7 Ast	SR
25	205	Jason Rich	Pensacola, FL	G	75	jason-rich-1	5.4 Pts, 2.0 Reb, 1.5 Ast	FR
3	205	Isaiah Swann	Germantown, MD	G	73	isaiah-swann-1	5.2 Pts, 1.9 Reb, 2.0 Ast	FR
25	240	Diego Romero		F	82	diego-romero-1	3.8 Pts, 2.5 Reb, 0.4 Ast	JR
20	220	Andrew Wilson	Kennesaw, GA	F	78	andrew-wilson-1	3.5 Pts, 2.3 Reb, 0.9 Ast	SR
10	211	Ralph Mims	Pensacola, FL	G	74	ralph-mims-1	2.8 Pts, 1.2 Reb, 0.7 Ast	FR
2	195	Antonio Griffin	Atlanta, GA	F	78	antonio-griffin-1	3.1 Pts, 0.8 Reb, 0.3 Ast	JR
24	175	Ben Engstrom	Libertyville, IL			ben-engstrom-1	1.0 Pts, 0.0 Reb, 0.2 Ast	FR
