number	weight	playerName	hometown	pos	height	playerId	summary	class
22	170	Lamar Butler	Oxon Hill, MD	G	74	lamar-butler-2	15.7 Pts, 2.4 Reb, 2.4 Ast	JR
1	175	Tony Skinn	Takoma Park, MD	G	73	tony-skinn-1	14.4 Pts, 2.9 Reb, 2.2 Ast	JR
55	275	Jai Lewis	Aberdeen, MD	F	79	jai-lewis-1	13.0 Pts, 7.5 Reb, 1.9 Ast	JR
23	179	John Vaughan	Laurel, MD	G	75	john-vaughan-1	7.5 Pts, 3.3 Reb, 1.5 Ast	FR
42	205	Folarin Campbell	Silver Spring, MD	G	76	folarin-campbell-1	6.4 Pts, 2.2 Reb, 1.3 Ast	FR
5	190	Gabe Norwood	State College, PA	G	77	gabe-norwood-1	5.8 Pts, 3.8 Reb, 2.6 Ast	SO
34	230	Will Thomas	Baltimore, MD	F	79	will-thomas-1	5.7 Pts, 5.6 Reb, 0.8 Ast	FR
13	235	Jesus Urbina		F	79	jesus-urbina-1	2.7 Pts, 2.7 Reb, 0.4 Ast	SO
12	185	Tim Burns	Greenfield, MA	G	75	tim-burns-1	2.7 Pts, 0.9 Reb, 0.4 Ast	SO
2	175	Jordan Carter	Indianapolis, IN	G	72	jordan-carter-1	1.0 Pts, 0.7 Reb, 1.2 Ast	FR
24	210	Charles Makings	Silver Spring, MD	G	74	charles-makings-1	0.3 Pts, 0.3 Reb, 0.1 Ast	SO
3	215	Makan Konate		F	79	makan-konate-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
