number	weight	playerName	hometown	pos	height	playerId	summary	class
24	220	Kelenna Azubuike		G	77	kelenna-azubuike-1	14.7 Pts, 4.7 Reb, 1.5 Ast	JR
22	180	Patrick Sparks	Central City, KY	G	73	patrick-sparks-1	11.0 Pts, 2.1 Reb, 3.6 Ast	JR
44	240	Chuck Hayes		F	78	chuck-hayes-1	10.9 Pts, 7.7 Reb, 2.3 Ast	SR
33	266	Randolph Morris	Atlanta, GA	C	82	randolph-morris-1	8.8 Pts, 4.2 Reb, 0.7 Ast	FR
4	171	Rajon Rondo		G	73	rajon-rondo-1	8.1 Pts, 2.9 Reb, 3.5 Ast	FR
3	191	Ramel Bradley	New York, NY	G	75	ramel-bradley-1	4.6 Pts, 1.8 Reb, 1.4 Ast	FR
2	190	Ravi Moss	Hopkinsville, KY	G	74	ravi-moss-1	3.8 Pts, 2.0 Reb, 0.7 Ast	JR
13	215	Bobby Perry	Durham, NC	F	80	bobby-perry-1	3.3 Pts, 2.1 Reb, 0.1 Ast	SO
32	210	Joe Crawford	Detroit, MI	G	77	joe-crawford-1	3.2 Pts, 1.8 Reb, 0.3 Ast	FR
33	270	Shagari Alleyne	Bronx, NY	C	87	shagari-alleyne-1	2.8 Pts, 1.9 Reb, 0.2 Ast	SO
23	236	Sheray Thomas		F	80	sheray-thomas-1	1.4 Pts, 1.3 Reb, 0.2 Ast	SO
10	265	Lukasz Obrzut		C	85	lukasz-obrzut-1	1.2 Pts, 0.6 Reb, 0.2 Ast	SO
5	205	Josh Carrier	Bowling Green, KY	G	77	josh-carrier-1	1.0 Pts, 0.5 Reb, 0.3 Ast	SR
1	167	Brandon Stockton	Glasgow, KY	G	69	brandon-stockton-1	0.8 Pts, 0.4 Reb, 0.3 Ast	JR
12	188	Preston LeMaster	Paris, KY	G	74	preston-lemaster-1	0.7 Pts, 0.0 Reb, 0.1 Ast	JR
