number	weight	playerName	hometown	pos	height	playerId	summary	class
14	240	Matthew Knight		F	80	matthew-knight-1	15.4 Pts, 5.9 Reb, 0.8 Ast	SO
1	170	Charles Brown	Hercules, CA	G	72	charles-brown-1	10.4 Pts, 2.9 Reb, 3.2 Ast	SR
0	205	Brandon Worthy	San Jose, CA	G	74	brandon-worthy-1	11.8 Pts, 3.9 Reb, 3.7 Ast	SO
13	185	Wes Wardrop	Anaheim, CA	G	75	wes-wardrop-1	7.2 Pts, 0.8 Reb, 1.8 Ast	JR
3	200	Daryl Pegram	San Bernardino, CA	F	81	daryl-pegram-1	6.5 Pts, 4.3 Reb, 0.5 Ast	SO
42	225	Dustin Brown	San Rafael, CA	F	79	dustin-brown-1	5.8 Pts, 3.6 Reb, 1.0 Ast	JR
32	220	John Haywood	Chino, CA	F	78	john-haywood-1	4.0 Pts, 3.1 Reb, 1.1 Ast	JR
15	200	Damian Martin		G	74	damian-martin-1	3.8 Pts, 3.4 Reb, 3.1 Ast	SO
40	250	Chris Ayer	Tucson, AZ	C	82	chris-ayer-1	3.3 Pts, 2.3 Reb, 0.2 Ast	JR
23	200	Jon Ziri	Tempe, AZ	G	74	jon-ziri-1	2.4 Pts, 1.2 Reb, 0.6 Ast	FR
4	205	Adoyah Miller	Brookline, MA	G	77	adoyah-miller-1	6.7 Pts, 2.0 Reb, 1.5 Ast	JR
5	175	John Montgomery	Menlo Park, CA	G	73	john-montgomery-1	2.0 Pts, 0.8 Reb, 0.9 Ast	SO
41	240	Vitor Boccardo		F	81	vitor-boccardo-1	0.6 Pts, 0.8 Reb, 0.1 Ast	FR
