number	weight	playerName	hometown	pos	height	playerId	summary	class
22	200	Ed McCants	Marion, OH	G	75	ed-mccants-1	17.4 Pts, 2.8 Reb, 1.8 Ast	SR
13	220	Joah Tucker	Milwaukee, WI	F	77	joah-tucker-2	16.2 Pts, 5.7 Reb, 2.3 Ast	JR
24	190	Boo Davis	Chicago, IL	G	75	boo-davis-1	10.2 Pts, 3.2 Reb, 1.3 Ast	JR
44	240	Adrian Tigert	Oshkosh, WI	F	79	adrian-tigert-1	9.2 Pts, 6.7 Reb, 2.3 Ast	JR
2	160	Chris Hill	Chicago, IL	G	70	chris-hill-3	7.8 Pts, 3.0 Reb, 3.2 Ast	JR
23	220	James Wright	Milwaukee, WI	F	78	james-wright-2	4.0 Pts, 4.1 Reb, 0.6 Ast	SR
50	240	Derrick Ford	Toledo, OH	C	82	derrick-ford-1	3.2 Pts, 1.8 Reb, 0.2 Ast	JR
21	190	Jason McCoy	Houston, TX	F	81	jason-mccoy-1	3.0 Pts, 2.2 Reb, 0.9 Ast	JR
4	185	Mark Pancratz	Schaumburg, IL	G	75	mark-pancratz-1	2.2 Pts, 2.1 Reb, 0.7 Ast	JR
12	170	Allan Hanson	Milwaukee, WI	G	72	allan-hanson-1	1.0 Pts, 0.7 Reb, 0.8 Ast	FR
33	200	Nick Hansen	Appleton, WI	F	77	nick-hansen-1	1.1 Pts, 0.9 Reb, 0.2 Ast	SO
42	210	Rob Sanders	Toledo, OH	F	79	rob-sanders-2	1.8 Pts, 0.7 Reb, 0.4 Ast	SR
14	175	Derrick Wimmer	Whitefish Bay, WI	G	74	derrick-wimmer-1	0.8 Pts, 0.1 Reb, 0.1 Ast	SO
32	180	Luke Homan	Brookfield, WI	F	77	luke-homan-1	1.0 Pts, 0.4 Reb, 0.1 Ast	FR
40	210	Michael Bendall	Oconomowoc, WI	F	79	michael-bendall-1	0.8 Pts, 1.1 Reb, 0.0 Ast	FR
