number	weight	playerName	hometown	pos	height	playerId	summary	class
34	197	Kyle Feuerbach	Phoenix, AZ	G	73	kyle-feuerbach-1	11.5 Pts, 2.2 Reb, 4.7 Ast	SR
32	195	Kelly Golob	Olympia, WA	G	77	kelly-golob-1	11.5 Pts, 3.6 Reb, 1.2 Ast	JR
41	225	Ruben Boykin	Los Angeles, CA	F	79	ruben-boykin-1	11.4 Pts, 7.3 Reb, 1.8 Ast	SO
23	195	DeJuan Stevens	Los Angeles, CA	G	75	dejuan-stevens-1	12.1 Pts, 2.8 Reb, 3.7 Ast	JR
33	235	Kyle Landry		F	81	kyle-landry-1	8.8 Pts, 5.2 Reb, 0.5 Ast	FR
22	225	Stephen Sir	Minnetonka, MN	G	78	stephen-sir-1	14.0 Pts, 3.4 Reb, 1.5 Ast	JR
11	175	Cedric Hill	Littleton, CO	G	74	cedric-hill-1	5.5 Pts, 1.7 Reb, 0.7 Ast	FR
20	195	Stephen Garnett	Winslow, AZ	F	76	stephen-garnett-1	4.0 Pts, 2.5 Reb, 1.3 Ast	SR
25	230	Ryan McCurdy	Gilbert, AZ	F	82	ryan-mccurdy-1	3.2 Pts, 2.6 Reb, 0.3 Ast	FR
31	200	Clyde Hooks	Chicago, IL	F	79	clyde-hooks-1	2.3 Pts, 0.9 Reb, 0.2 Ast	JR
42	225	Will Hensley	Midlothian, TX	F	79	will-hensley-1	2.4 Pts, 1.5 Reb, 0.4 Ast	FR
52	265	Paul Meynen	Torrance, CA	C	84	paul-meynen-1	1.1 Pts, 0.8 Reb, 0.0 Ast	SO
10	185	Riley Van Patten	Glendale, CA	F	74	riley-van-patten-1	0.6 Pts, 0.7 Reb, 0.3 Ast	SO
10	155	Matt Lyon	Prescott Valley, AZ	G	72	matt-lyon-1	0.4 Pts, 0.2 Reb, 0.0 Ast	SO
		Grant Fossum		G	73	grant-fossum-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
