number	weight	playerName	hometown	pos	height	playerId	summary	class
30	255	Caleb Green	Tulsa, OK	F	80	caleb-green-1	19.4 Pts, 9.3 Reb, 2.0 Ast	SO
1	200	Ken Tutt	Garland, TX	G	73	ken-tutt-1	17.1 Pts, 2.1 Reb, 2.4 Ast	SO
4	210	Larry Owens	Mesa, AZ	F	79	larry-owens-1	9.2 Pts, 7.5 Reb, 2.5 Ast	JR
14	165	Jonathan Bluitt	Oklahoma City, OK	G	69	jonathan-bluitt-1	7.5 Pts, 1.9 Reb, 5.4 Ast	JR
45	270	Mickey Michalec	Skiatook, OK	C	82	mickey-michalec-1	7.3 Pts, 5.9 Reb, 0.8 Ast	JR
5	185	Luke Spencer-Gardner		G	73	luke-spencer-gardner-1	9.1 Pts, 2.0 Reb, 3.8 Ast	SR
33	205	Andrew Meloy	Houston, TX	G	77	andrew-meloy-1	4.3 Pts, 1.9 Reb, 0.6 Ast	SR
2	200	Chris Riouse	Broken Arrow, OK	G	74	chris-riouse-1	4.1 Pts, 0.7 Reb, 0.4 Ast	JR
51	230	Matt Gastel	Tulsa, OK	C	83	matt-gastel-1	2.5 Pts, 2.3 Reb, 0.4 Ast	SR
13	215	Moses Ehambe	Arlington, TX	F	77	moses-ehambe-1	2.5 Pts, 1.9 Reb, 0.5 Ast	FR
25	185	Kasey Stewart	Tulas, OK	F	77	kasey-stewart-1	1.2 Pts, 1.0 Reb, 0.1 Ast	FR
10	180	Mike Morgan	Rockford, IL	G	75	mike-morgan-2	1.0 Pts, 0.8 Reb, 0.0 Ast	SO
32	190	Ben Haynes	Pullman, WA	G	74	ben-haynes-1	0.2 Pts, 0.0 Reb, 0.0 Ast	FR
35	185	Josh Hamilton	Apple Valley, CA			josh-hamilton-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
