number	weight	playerName	hometown	pos	height	playerId	summary	class
2	230	Glen McGowan	Lemon Grove, CA	F	81	glen-mcgowan-1	19.2 Pts, 7.6 Reb, 0.8 Ast	SR
3	185	Alex Acker		G	77	alex-acker-1	16.6 Pts, 6.5 Reb, 3.7 Ast	JR
34	225	Yakhouba Diawara		F	79	yakhouba-diawara-1	14.0 Pts, 5.7 Reb, 1.1 Ast	SR
10	160	Kingsley Costain		G	67	kingsley-costain-1	7.4 Pts, 1.7 Reb, 1.8 Ast	FR
32	260	Russell Hicks		C	84	russell-hicks-1	4.0 Pts, 3.1 Reb, 0.4 Ast	FR
5	180	Marvin Lea	Riverside, CA	G	75	marvin-lea-1	4.1 Pts, 1.9 Reb, 3.7 Ast	SO
4	225	Jesse Pinegar	Salt Lake City, UT	C	81	jesse-pinegar-1	4.8 Pts, 2.1 Reb, 0.5 Ast	SR
23	180	Chase Griffin	Redmond, WA	G	74	chase-griffin-1	2.8 Pts, 1.0 Reb, 1.0 Ast	SO
21	200	Robert Turner	Buena Park, CA	F	81	robert-turner-1	2.8 Pts, 1.2 Reb, 0.7 Ast	SR
11	205	Keith Jarbo	Burbank, CA	F	76	keith-jarbo-1	1.9 Pts, 1.9 Reb, 0.7 Ast	JR
1	180	Tashaan Forehan-Kelly	Irvine, CA	G	75	tashaan-forehan-kelly-1	1.2 Pts, 0.6 Reb, 0.3 Ast	JR
50	245	Jarrad Henry	Kansas City, KS	C	83	jarrad-henry-1	0.5 Pts, 1.5 Reb, 0.1 Ast	FR
13	255	Derick Grubb	Grapevine, TX	C	82	derick-grubb-1	1.6 Pts, 0.8 Reb, 0.4 Ast	JR
24	195	Cody Horning	Longmont, CO	F	81	cody-horning-1	1.0 Pts, 0.6 Reb, 0.4 Ast	SO
