number	weight	playerName	hometown	pos	height	playerId	summary	class
14	240	Daniel Kickert		F	82	daniel-kickert-1	16.6 Pts, 6.6 Reb, 1.0 Ast	JR
11	195	Paul Marigney	Oakland, CA	G	75	paul-marigney-1	16.8 Pts, 5.0 Reb, 1.6 Ast	SR
2	190	E.J. Rowland	Salinas, CA	G	74	ej-rowland-1	11.0 Pts, 3.8 Reb, 3.9 Ast	SR
32	215	Jonathan Sanders	Denver, CO	G	79	jonathan-sanders-1	7.7 Pts, 4.4 Reb, 1.7 Ast	SR
50	230	Frederic Adjiwanou		F	81	frederic-adjiwanou-1	8.0 Pts, 6.6 Reb, 1.0 Ast	SR
23	225	Brett Collins	Phoenix, AZ	F	77	brett-collins-1	6.4 Pts, 2.8 Reb, 1.0 Ast	SO
12	190	Jason Walberg	Fresno, CA	G	76	jason-walberg-1	4.2 Pts, 2.2 Reb, 1.1 Ast	JR
33	260	Blake Sholberg	Vacaville, CA	C	85	blake-sholberg-1	3.3 Pts, 3.1 Reb, 0.2 Ast	SO
5	245	Reda Rhalimi		C	84	reda-rhalimi-1	1.4 Pts, 1.6 Reb, 0.0 Ast	JR
32	181	Daniel Waddy	Tucson, AZ	G	74	daniel-waddy-1	0.9 Pts, 0.4 Reb, 0.0 Ast	SO
24	180	Todd Golden	Phoenix, AZ	G	75	todd-golden-1	0.8 Pts, 0.6 Reb, 0.3 Ast	FR
3	200	Rafael Dasilva				rafael-dasilva-1	0.5 Pts, 0.2 Reb, 0.3 Ast	FR
0	215	Erik Bond	Seattle, WA	F	79	erik-bond-1	0.6 Pts, 0.3 Reb, 0.0 Ast	JR
