number	weight	playerName	hometown	pos	height	playerId	summary	class
15	220	Carlos Powell	Florence, SC	F	79	carlos-powell-1	16.4 Pts, 6.5 Reb, 1.6 Ast	SR
1	188	Tre Kelley	Washington, DC	G	73	tre-kelley-1	8.9 Pts, 1.4 Reb, 3.6 Ast	SO
21	185	Tarence Kinsey		G	78	tarence-kinsey-1	8.9 Pts, 3.4 Reb, 1.6 Ast	JR
31	181	Josh Gonner	Fort Worth, TX	G	75	josh-gonner-1	8.7 Pts, 1.7 Reb, 1.7 Ast	SR
10	163	Rocky Trice	Swainsboro, GA	F	76	rocky-trice-1	5.9 Pts, 2.9 Reb, 1.1 Ast	JR
14	237	Antoine Tisby	Kansas City, KS	C	80	antoine-tisby-1	6.6 Pts, 4.7 Reb, 0.5 Ast	JR
33	203	Brandon Wallace	Jackson, SC	F	82	brandon-wallace-1	5.7 Pts, 4.5 Reb, 0.9 Ast	SO
34	208	Renaldo Balkman		F	80	renaldo-balkman-1	5.4 Pts, 4.8 Reb, 1.7 Ast	SO
0	185	Stephen McDowell	Indianapolis, IN	G	71	stephen-mcdowell-1	1.6 Pts, 0.4 Reb, 0.6 Ast	FR
23	185	Dwayne Day	Mount Vernon, GA	G	79	dwayne-day-1	3.1 Pts, 0.8 Reb, 0.2 Ast	FR
54	247	John Chappell	New Berlin, WI	C	82	john-chappell-1	1.2 Pts, 1.4 Reb, 0.2 Ast	SR
13	240	Paulius Joneliunas		C	83	paulius-joneliunas-1	1.3 Pts, 0.7 Reb, 0.3 Ast	SO
25	198	Jon Land	Winston-Salem, NC	G	76	jon-land-1	0.5 Pts, 0.7 Reb, 0.2 Ast	SR
