number	weight	playerName	hometown	pos	height	playerId	summary	class
11	190	Bruce Price	Minneapolis, MN	G	75	bruce-price-1	13.7 Pts, 3.4 Reb, 3.4 Ast	SO
24	240	Rod Flowers	Huntsville, AL	C	80	rod-flowers-2	12.6 Pts, 8.0 Reb, 1.6 Ast	SR
		King Eric		F	79	king-eric-1	10.4 Pts, 6.5 Reb, 1.6 Ast	JR
32	190	Kareem Grant	Middletown, CT	F	78	kareem-grant-1	9.8 Pts, 2.6 Reb, 0.7 Ast	JR
34	190	Wayne Arnold	Lilburn, GA	G	76	wayne-arnold-1	10.1 Pts, 3.5 Reb, 2.1 Ast	JR
30	190	Roshaun Bowens	Nashville, TN	F	78	roshaun-bowens-1	8.5 Pts, 4.3 Reb, 2.4 Ast	SR
2	160	Reiley Ervin	Memphis, TN	G	70	reiley-ervin-1	5.9 Pts, 1.6 Reb, 2.4 Ast	FR
22	200	Jeremy Jackson	East St. Louis, IL	F	79	jeremy-jackson-2	3.6 Pts, 1.7 Reb, 0.8 Ast	SR
5	205	Herley Maclin	Brighton, TN	G	76	herley-maclin-1	1.9 Pts, 1.2 Reb, 0.4 Ast	SR
15	190	Andrae Belton	Columbia, SC	G	75	andrae-belton-1	0.8 Pts, 0.7 Reb, 0.2 Ast	FR
25	200	Courtney Bohannon	Memphis, TN	F	80	courtney-bohannon-1	0.3 Pts, 0.9 Reb, 0.0 Ast	SO
13	0	Corie Carroll				corie-carroll-1	0.5 Pts, 0.2 Reb, 0.3 Ast	FR
