number	weight	playerName	hometown	pos	height	playerId	summary	class
21	205	John Millsap	Grambling, LA	F	78	john-millsap-1	13.7 Pts, 6.9 Reb, 1.4 Ast	SR
24	195	Rapheal Posey	Topeka, KS	G	74	rapheal-posey-1	12.5 Pts, 4.0 Reb, 1.9 Ast	SR
3	200	Andre Owens	Irving, TX	G	76	andre-owens-2	11.2 Pts, 4.0 Reb, 2.3 Ast	JR
5	195	Justin Harbert	San Antonio, TX	G	73	justin-harbert-1	13.4 Pts, 3.8 Reb, 1.7 Ast	SR
42	220	Anthony Fuqua	Largo, MD	C	83	anthony-fuqua-1	7.6 Pts, 5.4 Reb, 1.0 Ast	SR
55	235	Ray Selvage	Baton Rouge, LA	C	80	ray-selvage-1	6.5 Pts, 4.7 Reb, 0.6 Ast	JR
13	200	David President	Temple, TX	G	73	david-president-1	6.2 Pts, 4.1 Reb, 3.6 Ast	SR
33	235	Abram Donlon	Tulsa, OK	F	80	abram-donlon-1	2.7 Pts, 2.7 Reb, 0.5 Ast	FR
10	190	Kurt Attaway	Flower Mound, TX	G	74	kurt-attaway-1	3.8 Pts, 2.1 Reb, 2.9 Ast	SO
	190	Adam McCoy	Dallas, TX	G	76	adam-mccoy-1	3.2 Pts, 0.6 Reb, 0.4 Ast	FR
15	220	Roderick Rodgers	Dallas, TX	F	77	roderick-rodgers-1	2.9 Pts, 2.6 Reb, 0.8 Ast	FR
50	240	Dwain Hall	Baton Rouge, LA	C	82	dwain-hall-1	1.0 Pts, 1.2 Reb, 0.3 Ast	SO
20	190	Juan Salinas	Austwell, TX	G	71	juan-salinas-1	0.7 Pts, 0.8 Reb, 0.2 Ast	JR
14	175	James Peters	San Antonio, TX	G	73	james-peters-2	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
